Pop_Condition,Sample_Condition,NFac,SampleSize,NMissing,Pop12,Full12,SFA12,SFB12,SFC12,MI12
P1,S1,2,100,1,0,0.161108666774049,0.145573354446556,0.0150439943410932,0.167153638361992,0.16677156820595
P1,S2,2,200,1,0,0.0242619963041627,0.0485163950143016,0.0572762107659843,0.0153586353177662,0.0209668883703661
P1,S3,2,300,1,0,-0.0637395773200096,-0.0827855410208202,0.034681131094574,-0.0533781000283384,-0.0451766379710026
P1,S4,2,400,1,0,-0.0095005679112164,-0.00487558669989326,0.0197605165136585,-0.00467700570880712,-0.000385889781146569
P1,S5,2,500,1,0,0.000830672940860618,0.00557572265686793,0.0615065585640143,-0.00333227685520631,0.00692089291510009
P1,S6,2,600,1,0,0.0106200746661496,0.0138657915855701,-0.0613005933933489,0.0107684550920009,-0.00306997860325823
P1,S7,2,700,1,0,0.00673711084828723,0.0133159096931493,0.0273599951494881,0.0186506331245868,0.0118205274324446
P1,S8,2,800,1,0,0.0412018186127277,0.034370342609909,0.043902032288252,0.0445275640191731,0.0474068141807692
P1,S9,2,900,1,0,-0.0282750909522463,-0.0238177903771433,-0.0304210033214439,-0.014249000530209,-0.0298588309368853
P1,S10,2,1000,1,0,0.00633989416345646,-0.00248522569142521,-0.0115793874132608,0.00484391332612761,0.00833950106816041
P1,S11,2,100,2,0,-0.1155904525811,-0.115661091762403,-0.1619145819874,-0.127911024328274,-0.142258882550548
P1,S12,2,200,2,0,-0.122034535906829,-0.0780406662707648,-0.1818221158827,-0.10390136069528,-0.0983107953514822
P1,S13,2,300,2,0,0.043643748425215,0.0536811340503917,0.124517778735004,0.0336996160435905,0.0751545732679593
P1,S14,2,400,2,0,0.0523613120862559,0.0520296865148827,0.0852234395464453,0.0487420287259748,0.0367942894435751
P1,S15,2,500,2,0,0.0264843131621225,0.0100506105230196,0.0262617895730638,0.0513035292092923,0.0483009233839785
P1,S16,2,600,2,0,0.0442413337422019,0.0507797452125104,-0.00600121971479663,0.0300394448270176,0.0262805843407043
P1,S17,2,700,2,0,0.0909671244113875,0.0966769841726082,0.0729490929044466,0.0789885966285522,0.101908456354055
P1,S18,2,800,2,0,0.00814975016251533,0.00461277565663493,0.0116573889086244,-0.00158364095236713,0.0164542964467498
P1,S19,2,900,2,0,0.0424878547106328,0.0397144104129449,0.00861960558698796,0.0542095878885005,0.0327042304275367
P1,S20,2,1000,2,0,-0.00409908495652542,-0.0116883172271049,0.000291955043732198,0.0116505746386398,-0.00979386304814343
P1,S21,2,100,3,0,-0.0404234217490322,-0.0977872028579231,0.0731076057495264,0.0195554856328131,0.0200634323198138
P1,S22,2,200,3,0,0.0394762547513351,0.0487701826260946,0.0835695403931151,0.0248131105717659,0.0341228220135152
P1,S23,2,300,3,0,-0.0383883940265983,-0.0382343040849784,0.0304246390220964,-0.0168494589173339,-0.0355539762986922
P1,S24,2,400,3,0,-0.0325171372450739,-0.000780187415729874,-0.026650100349982,-0.00467869212672819,-0.0472841036488209
P1,S25,2,500,3,0,0.0524300622746946,0.0511568539137975,-0.0141538248159567,0.072355907172713,0.0818763273791125
P1,S26,2,600,3,0,-0.0165200094121162,-0.0171169413832415,-0.0699185081943836,0.0148338184087795,0.0026647265477704
P1,S27,2,700,3,0,-0.0386761704453864,-0.013714937139259,-0.00470213686608764,-0.0297433926041978,-0.0522725951310026
P1,S28,2,800,3,0,-0.00545848834211107,-0.0082439522596894,0.0257196665572427,-0.00379002828105916,-0.0222691831662347
