Pop_Condition,Sample_Condition,NFac,SampleSize,NMissing,Pop12,Full12,SFA12,SFB12,SFC12,MI12
P1,S1,2,100,1,0,0.152755812030065,0.171799865393597,0.224979926485537,0.163654296808006,0.133499757552954
P1,S2,2,200,1,0,-0.0506672333037151,-0.0434929315871607,-0.0624580077871878,-0.0474661621438272,-0.0432174822975879
P1,S3,2,300,1,0,0.00465265149781514,0.0228991600299597,0.0224979822075145,0.0361179242766942,0.0242685960719739
P1,S4,2,400,1,0,0.0345928199898839,0.0377891665959709,-0.0235526669184618,0.0355344706862985,0.0293840440372342
P1,S5,2,500,1,0,-0.0517116664474662,-0.0596728227370989,-0.0664103187211424,-0.0507583486360928,-0.0615554547516923
P1,S6,2,600,1,0,-0.0362852100936803,-0.0414404507638992,-0.0666993780462982,-0.0286929909327801,-0.0348744731283928
P1,S7,2,700,1,0,0.0329524188977535,0.0252058243674394,0.0697758897133875,0.0209058111739241,0.0339747566713137
P1,S8,2,800,1,0,0.0521115143662991,0.0393269138242475,0.064792996501334,0.053100884798829,0.0580047586364924
P1,S9,2,900,1,0,0.0551645820366948,0.0687394090709895,0.111918673270243,0.0587237911609249,0.0553783997406269
P1,S10,2,1000,1,0,-0.0393408731464453,-0.0407765814130149,-0.0757371020092116,-0.0351056360937606,-0.0443280185033129
P1,S11,2,100,2,0,0.0487846011803479,0.118090620692076,0.021534582637555,0.0755023718447731,-0.0493842383321235
P1,S12,2,200,2,0,-0.00074712262683328,0.0209904940069211,0.209622322002558,0.0115965226815032,0.00431717189314005
P1,S13,2,300,2,0,0.0194379347659751,0.0271986296719385,-0.0256749842688381,0.0180202085707787,0.0441088259732944
P1,S14,2,400,2,0,0.0103039450509933,0.00390069208654958,-0.0115136283224551,0.0242176287898618,0.0341278217446301
P1,S15,2,500,2,0,-0.0807129578648307,-0.0653752815780137,-0.0621107287461125,-0.062274494751494,-0.0527216009238557
P1,S16,2,600,2,0,-0.0161851100116769,-0.00520713519904662,0.047262256330177,0.00604844231990125,-0.0183919065209718
P1,S17,2,700,2,0,0.0352126152343818,0.0264280919880576,0.0249047723242516,0.0281348158767402,0.0344311161736375
P1,S18,2,800,2,0,-0.03430994933719,-0.0296354013306272,-0.0200635672692523,-0.033756781864323,-0.0195408716712499
P1,S19,2,900,2,0,-0.0728613923281122,-0.0663961248062329,-0.0834373230317338,-0.0691397493602322,-0.0764216613243201
P1,S20,2,1000,2,0,-7.53450172038402e-05,-0.00361076708051558,-0.0270315795580994,0.00432830041737023,-0.0084571842998287
P1,S21,2,100,3,0,-0.0644865217660426,-0.0733413068952561,-0.248816772698912,-0.0703458506980249,-0.0892796768785593
P1,S22,2,200,3,0,-0.043274639107545,-0.0492342980409355,-0.0458912459454453,-0.0782947819149243,-0.0383784158153237
P1,S23,2,300,3,0,0.00457004135686588,-0.0469896234319124,-0.142935706054173,0.00578380917510576,-0.00441925287859573
P1,S24,2,400,3,0,-0.0596939022357672,-0.0266961670917826,-0.0601909633256095,-0.0659961746499256,-0.0654131493858227
P1,S25,2,500,3,0,0.000670211734316804,0.0198493971938159,0.0136514632817661,0.0146191583730181,-0.0155320422865726
P1,S26,2,600,3,0,-0.000917884917815838,-0.0190374883839344,0.0326971532722842,-0.0101941236305409,0.000539226379400111
P1,S27,2,700,3,0,-0.0350172936312604,-0.0400566857450833,-0.0534405712592792,-0.0205060496446863,-0.0312882776816776
P1,S28,2,800,3,0,0.0303929827050401,0.00459521693897466,0.0295665966312892,0.0303276764650582,0.0178819547957729
P1,S29,2,900,3,0,-0.0320926156228966,0.00403920206974349,-0.00532422753053471,-0.0198599303920493,-0.0539700448290912
P1,S30,2,1000,3,0,-0.0185488355013633,-0.024946031982745,-0.0819943196970907,-0.00885830072571561,-0.0212167736661107
P1,S31,2,100,4,0,-0.100765226249646,-0.0270264792655083,-0.353147675747757,-0.119375323281492,-0.102191315305922
P1,S32,2,200,4,0,-0.0320392922131468,-0.00475453222967459,-0.053672193204583,0.0109012918924928,-0.086616853628021
P1,S33,2,300,4,0,0.0452966098684857,0.0741577304815275,0.0902236651441665,0.0238167387004746,0.0358715982703993
P1,S34,2,400,4,0,-0.0085406469737234,-0.00954296363868407,-0.0135733136158391,-0.0389932662109952,-0.00439429019937917
P1,S35,2,500,4,0,-0.0749021618940006,-0.0638688761638034,-0.112598039520187,-0.0327080275741988,-0.0681427306167648
P1,S36,2,600,4,0,0.0152199600604175,0.0356919671645709,0.0864701319805847,0.00589212188724677,0.015653263230618
P1,S37,2,700,4,0,0.0176584620691396,0.00793814881322142,0.040201619101861,-0.00304361961703071,0.0273983199362901
P1,S38,2,800,4,0,0.0115277514537598,0.0142481806239458,-0.0179222982859766,0.0138048833090417,0.00653284133547639
P1,S39,2,900,4,0,0.00971574427999642,0.0103148138446164,0.0273969094493166,0.00648126973612817,0.0481324175257913
P1,S40,2,1000,4,0,-0.0168910356434315,0.025986648551619,-0.0615921960436487,0.0355802084342179,-0.052388286512284
P1,S41,2,100,5,0,0.0155848524126332,-0.0366602104056176,-0.0138261074960528,0.0622992031312925,-0.0556436658834727
P1,S42,2,200,5,0,0.128757239440281,0.152253002187778,0.0286895353152468,0.0723548957413629,0.213482017159924
P1,S43,2,300,5,0,0.102590718488445,0.0600259412316018,0.0767690372242828,0.0731810042670041,0.0748043251153924
P1,S44,2,400,5,0,0.041236109208268,0.000432401301438612,-0.0200856493626155,0.102248026790385,0.0576530296741103
P1,S45,2,500,5,0,-0.0635118066601278,-0.0585163290984026,-0.00756382596027402,-0.0542936274583054,-0.0474084007260596
P1,S46,2,600,5,0,-0.00305513750552866,0.0460371186024622,0.00502523188411997,-0.0330024833441769,0.00399108953475687
P1,S47,2,700,5,0,-0.0463625184238862,-0.0709666157007822,-0.0115691598641292,-0.0435204534068502,-0.0475631930194241
P1,S48,2,800,5,0,-0.0434726331290946,-0.023739568436417,-0.0188540847461099,-0.0444596706897546,-0.0344894023969061
P1,S49,2,900,5,0,0.0121100128635703,0.0294219294285803,0.0839835218072462,0.02761565358138,0.0341060226411745
P1,S50,2,1000,5,0,-0.00713444711593267,-0.0254871508773709,0.0243902188037755,-0.0050645490712911,-0.0506520106381871
P1,S51,2,100,6,0,-0.250348104523849,-0.189057849257739,-0.262332509202511,-0.176120191371909,-0.156913391313272
P1,S52,2,200,6,0,0.017171940581839,0.0477335596700253,-0.0379614502772165,-0.0438611503468588,0.00691876019589293
P1,S53,2,300,6,0,0.0315044595525395,-0.0224116260576247,0.0674923728097553,0.0699481974197063,-0.0379199581797415
P1,S54,2,400,6,0,0.0190510680949891,0.0377494067816141,0.0853787332387069,0.0200182733163322,0.0309013562288876
P1,S55,2,500,6,0,-0.0728930059992057,-0.0709665276102278,-0.0700421629918806,-0.0536219424585737,-0.050760231637157
P1,S56,2,600,6,0,-0.0451627191896065,-0.0462654018974692,-0.0703544791004486,-0.00433531771914849,-0.00205255363977721
P1,S57,2,700,6,0,0.0199118988067284,-0.041030594576796,-0.0678523803446372,0.0156587971863215,-0.00529356229020829
P1,S58,2,800,6,0,0.0917636260519697,0.0940528443034471,0.0106860997646712,0.0925981672554129,0.0604234226726132
P1,S59,2,900,6,0,0.0128269409410978,-0.00560863199502745,-0.0237628053059923,-0.00231970700890176,0.0531704031647385
P1,S60,2,1000,6,0,-0.0737584732948319,-0.0556093439960421,-0.0658235873602329,-0.0813295066927344,-0.0232194971482865
P1,S61,2,100,7,0,-0.123631650633258,-0.0335417837284234,-0.170943498023221,-0.0266860105188647,-0.111415983026903
P1,S62,2,200,7,0,-0.0293835287603889,-0.0590977512809498,-0.0365053295803914,-0.000798961524848904,-0.0509542994641536
P1,S63,2,300,7,0,0.0285421322204457,0.0253305329154781,0.0832578193931353,0.0105195107503827,-0.0457494719331898
P1,S64,2,400,7,0,0.00961327707037483,-0.000473776616257793,0.021660847990963,0.0238506493544971,-0.0890696944971913
P1,S65,2,500,7,0,0.00611134642675617,-0.0152145383032245,-0.0116685718493273,-0.00625046595935006,-0.0267213452132331
P1,S66,2,600,7,0,-0.0181051581918541,-0.0490344519768448,-0.076005548342163,-0.01013226241641,-0.0771429473677073
P1,S67,2,700,7,0,-0.0842457988775187,-0.0174477997983421,-0.0405156520848282,-0.0369166837810342,-0.0818798550354267
P1,S68,2,800,7,0,0.0167429653412701,0.0111495287465319,0.082749452702393,-0.00676971887839904,0.0555066144076659
P1,S69,2,900,7,0,0.0193227327255554,0.0333330271093175,0.0453436292254112,0.0140760926088054,-0.00406869592242334
P1,S70,2,1000,7,0,-0.0123514314223885,-0.0138722188633277,-0.0482939973782556,0.00860674866952264,-0.0442167312039334
P1,S71,2,100,8,0,-0.0215188933098096,-0.165560795243899,0.0907526179061656,0.110114184425553,NA
P1,S72,2,200,8,0,0.0757300980198814,0.0407910463802784,0.225556884342702,0.0100263015028932,NA
P1,S73,2,300,8,0,0.0552172923301712,0.0158394884875832,-0.0142538838108127,0.0508494351392339,0.098390904767832
P1,S74,2,400,8,0,0.0168459403424975,0.034575086874276,0.0611061384011483,0.0233506447246129,-0.0365068851381893
P1,S75,2,500,8,0,-0.012794798301028,-0.0466018491491946,-0.0803820909983489,-0.103428613114796,-0.0564153263939622
P1,S76,2,600,8,0,-0.0233239218080614,-0.00057039920461706,-0.00852942565061052,-0.0419305825010586,0.0450543567677215
