Pop_Condition,Sample_Condition,NFac,SampleSize,NMissing,Pop12,Full12,SFA12,SFB12,SFC12,MI12
P1,S1,2,100,1,0,-0.0402128175444667,-0.0257650961017981,-0.0877609311344015,-0.0614806771330463,-0.0684739477225243
P1,S2,2,200,1,0,0.0249831161168741,0.0344084761034006,0.0851630292506328,0.0304801289719173,0.0170996558463914
P1,S3,2,300,1,0,-0.0155237961709083,-0.0178285364238693,-0.024002886224678,-0.0177097007745688,-0.00130442095626818
P1,S4,2,400,1,0,-0.0227210360785656,-0.0304085573554311,-0.0509144819668225,-0.0208787530775642,-0.0198630703589444
P1,S5,2,500,1,0,0.00160373267379333,0.00365809694117752,0.0546843118460674,-0.00942938022799402,-0.00359440376737782
P1,S6,2,600,1,0,0.0851229141532996,0.0933539885144884,0.0795810300664007,0.0828357465463118,0.0823640604375227
P1,S7,2,700,1,0,0.035696147185806,0.0386960877984735,0.0628064371311073,0.0323590696360695,0.03307025991565
P1,S8,2,800,1,0,0.013792676161099,-0.0101504269239188,0.00804949751302178,0.0191550392531481,0.0270322256325566
P1,S9,2,900,1,0,0.0275312150037566,0.0326158695405583,0.0500628129228524,0.0252864024619685,0.0201701094714405
P1,S10,2,1000,1,0,0.058960444222878,0.0579927617326343,-0.00113278855030615,0.0447414523339528,0.067617301097885
P1,S11,2,100,2,0,-0.0454307973588119,-0.056564466816022,-0.134530143243674,-0.0511589227747503,-0.0501408171993836
P1,S12,2,200,2,0,-0.0163512414507601,-0.00119177735876789,-0.0463030443153588,-0.00876769758161795,0.0282181113035511
P1,S13,2,300,2,0,0.0359529393320631,0.0551861200611894,0.111376229038899,0.0187491406716321,0.0299983658093438
P1,S14,2,400,2,0,0.153167818229138,0.123930237562662,0.221340002139016,0.13650186575098,0.171169425034424
P1,S15,2,500,2,0,0.0666347780667745,0.0612983204137364,0.177279949131683,0.0585077936700563,0.0586958591662755
P1,S16,2,600,2,0,-0.000311884940935373,0.012171121660288,-0.0458194895419203,-0.00566163556973655,0.0200019917188372
P1,S17,2,700,2,0,0.0359868582050491,0.0377296861569353,0.0426310636284532,0.0434748064297136,0.028314792092388
P1,S18,2,800,2,0,-0.0229219904438258,-0.0192343922568627,-0.0428480291703855,-0.00853721300873251,-0.042020765429676
P1,S19,2,900,2,0,-0.0103068300954021,-0.00163669720001627,-0.0410640202626217,-0.00226585995680391,-0.017900530986375
P1,S20,2,1000,2,0,0.0453965779453766,0.0395606203071039,0.0198586575877539,0.0512736515661476,0.0556293311801883
P1,S21,2,100,3,0,-0.118187086555867,-0.0494506281204847,0.0839468051435338,-0.0707174254265505,-0.142404620636145
P1,S22,2,200,3,0,0.0168583185432068,0.0157476614846454,0.158390898549567,0.0249589351153668,0.0137678768760169
P1,S23,2,300,3,0,-0.0602015303214589,-0.0231138032942572,-0.0894439456570633,-0.0807179298288314,-0.0384230175725642
P1,S24,2,400,3,0,-0.0184741387858042,-0.0373810094853339,0.00302979732868385,-0.00628314328097688,-0.00674004916480945
P1,S25,2,500,3,0,-0.0430383603440385,-0.039982515488558,0.0400004685316417,-0.0602414284172398,-0.0631849676838794
P1,S26,2,600,3,0,0.0875390142026061,0.0958723219590596,0.104158478250906,0.065943020247141,0.083108820905353
P1,S27,2,700,3,0,0.0113563775430252,0.00849954597116218,0.0424355328307316,0.0191116825647365,-0.000574615716515115
P1,S28,2,800,3,0,0.0363575144105711,0.031554742931602,0.06811476986062,0.028537931325775,0.0442657071250413
P1,S29,2,900,3,0,0.0254011333598082,0.0204890550912324,0.0303609872359503,-0.0117116914616679,0.0178306303949133
P1,S30,2,1000,3,0,0.0533366364777864,0.0498736439117715,0.0498643444619997,0.054603362074098,0.0780403085713932
P1,S31,2,100,4,0,0.0067184457565995,0.0162228148466755,0.0479679900840518,-0.0241947433099446,-0.00207579720008583
P1,S32,2,200,4,0,0.00321457313314292,-0.0179734304600843,0.0238980527278425,0.072878348059393,0.000198380131883146
