Pop_Condition,Sample_Condition,NFac,SampleSize,NMissing,Pop12,Full12,SFA12,SFB12,SFC12,MI12
P1,S1,2,100,1,0,0.0457178761449443,0.0426516118698787,0.00484664637641987,0.0518155317536867,0.0124779428230846
P1,S2,2,200,1,0,0.0453630030930335,0.0457233490604361,0.0179044804209126,0.0354766441048964,0.0497789265247045
P1,S3,2,300,1,0,0.00774866040614631,-0.00153445025156863,-0.0262785349277815,0.00702015159790691,-0.0113286110123142
P1,S4,2,400,1,0,-0.00549768099073272,-0.00995587810168453,-0.0236314086238797,-0.00870775443225115,0.018396921979431
P1,S5,2,500,1,0,-0.0430893850588262,-0.0244349264302731,-0.0281492870448966,-0.0382767415319169,-0.0373200919621703
P1,S6,2,600,1,0,0.00579524420602458,0.00649564039985098,-0.0204815260080105,0.00261235683231201,0.0107389514196826
P1,S7,2,700,1,0,-0.0581430503998088,-0.0725567750279431,-0.0259752494408552,-0.0642453525872651,-0.0699745992190082
P1,S8,2,800,1,0,-0.00879196322910896,-0.00507501086384538,-0.0690106768845289,-0.0176433445228652,-0.0101197766764861
P1,S9,2,900,1,0,0.0330661185071266,0.0188461602074478,-0.0428695556405167,0.0409382460051085,0.0213753476327725
P1,S10,2,1000,1,0,0.0221579834760774,0.00640408038224468,0.0321771374559762,0.0185135756126086,0.0175392261490317
P1,S11,2,100,2,0,-0.0694002627546544,-0.0186158431830253,-0.257369348034271,-0.0176990757097966,-0.0323130603460534
P1,S12,2,200,2,0,-0.0434672397147462,-0.0271934772784717,-0.14864995735754,0.021733955111771,-0.0699301905601623
P1,S13,2,300,2,0,0.000874094675157812,-0.0256651823285678,-0.0745585409427942,-0.0327931192261878,0.0412744857324319
P1,S14,2,400,2,0,0.0644421455101874,0.0527112214058778,0.118320801836088,0.0845248941046634,0.0825494851994874
P1,S15,2,500,2,0,-0.0105889633758025,-0.030127488642772,-0.00656055436842331,-0.00360626324752006,-0.0459606256478811
P1,S16,2,600,2,0,0.0335198299232796,0.0300219702446146,-0.00173741553777435,0.0341058864846961,0.0357663419354445
P1,S17,2,700,2,0,-0.0130931361037665,-0.00122726485664713,0.0240033660057768,-0.0439363306161339,-0.00265497482776187
P1,S18,2,800,2,0,0.0688932950117495,0.0535320222946271,0.0444535651828889,0.0556287868879671,0.0711434044610728
P1,S19,2,900,2,0,-0.00160775713181843,-0.0127472147771462,-0.0132689307182716,-0.00971370187958462,-0.0053853909127292
P1,S20,2,1000,2,0,-0.0060794754111742,-0.00810184158677713,-0.0312030897218114,-0.00449713453117785,0.00220504658782287
P1,S21,2,100,3,0,0.048006871292766,0.0533447765989602,0.0755199165918719,0.0539047601800378,0.0729603334170379
P1,S22,2,200,3,0,0.0633770517176923,0.0863744227924416,0.0566945636027778,0.05653311663611,0.0606045982669112
P1,S23,2,300,3,0,-0.00460564758514351,0.0182956937967433,0.104572653069836,-0.00114221835501789,-0.0324875261195281
P1,S24,2,400,3,0,0.0565474065506309,0.0522680759619602,0.070276077568947,0.0279359781997491,0.0650978099123721
P1,S25,2,500,3,0,-0.012059255664078,-0.0256443593631135,0.0560600032884461,-0.00512291465875781,-0.0149871926723136
P1,S26,2,600,3,0,-0.00870049433731141,-0.0135216879251975,0.017946052342425,0.014952884824818,-0.0229128678936551
P1,S27,2,700,3,0,-0.0551356628104676,-0.0593168202648763,-0.0892058744848605,-0.0476874049757259,-0.0720523028939845
P1,S28,2,800,3,0,-0.0219199107862897,-0.018297203303147,0.0122757616821967,-0.00491945125208335,0.00577291724657772
P1,S29,2,900,3,0,0.0542555032718715,0.0433306703861936,0.0444635397597275,0.0556167886256372,0.0311864187375057
P1,S30,2,1000,3,0,0.0214081372027951,0.0199824452302812,0.00699102237835109,0.0158686210982102,0.0102606138966068
P1,S31,2,100,4,0,0.0265606143719131,0.0673244519790185,0.0768399806647799,0.0354582456058743,-0.0299824094588114
P1,S32,2,200,4,0,-0.0364336432427414,0.0131503298190462,-0.0854190252497354,-0.0444849940672528,0.0132614927276976
P1,S33,2,300,4,0,-0.0504939035929321,-0.0525413268420467,-0.0395947830301988,-0.0620779328764829,-0.0452227662502476
P1,S34,2,400,4,0,-0.0178853442449845,-0.0281482596586418,-0.0322698501587315,-0.00384848029315978,-0.0310495517457599
P1,S35,2,500,4,0,-0.0401207301396086,-0.0155492032863152,-0.0386780833799268,-0.073991849894221,-0.055160229158502
P1,S36,2,600,4,0,0.010823549264707,0.0249009674388598,0.0170511693236202,0.00879160971398592,0.00223178907585953
P1,S37,2,700,4,0,0.107200756119356,0.127978218983719,0.117023625442814,0.0968594000652101,0.0819197453790131
P1,S38,2,800,4,0,0.00479463915736435,-0.00376363713931327,-0.00602869960607976,-0.0223795340412817,0.0265224393327112
P1,S39,2,900,4,0,-0.0370142503956325,-0.0630431609511642,-0.0274869890830683,-0.0324559366302066,-0.0196493499912148
P1,S40,2,1000,4,0,0.0159605103741858,0.00409840285397644,0.00969681033409139,0.0184326267942311,0.0276177800939256
P1,S41,2,100,5,0,0.00810338888890338,0.0560239734801445,-0.0353158599683987,0.0926552205933273,0.089867217109845
P1,S42,2,200,5,0,0.147272013353299,0.14109913550289,0.0285688517759328,0.138183889949199,0.133898496520333
P1,S43,2,300,5,0,0.0238679297758565,0.0479180770964952,0.00408913810916899,-0.0225267244414595,0.0402836779000063
P1,S44,2,400,5,0,-0.0183057236132058,0.0073222383958967,-0.00286654088208006,-0.033479221332226,-0.0353993913476444
P1,S45,2,500,5,0,0.012696082128108,-0.0119190242450675,0.0420134867263391,-0.00551378528642293,0.0567916541042105
P1,S46,2,600,5,0,-0.068606033394425,-0.0423072664617603,-0.0325119694996692,-0.0497691141286319,-0.103538966656903
P1,S47,2,700,5,0,-0.0230461610946461,-0.00769440659599749,-0.0663100854655475,0.00453023510585667,-0.0227765192775336
P1,S48,2,800,5,0,-0.00499044397005147,-0.00851515768784656,-0.0224100560641622,-0.0124976478061493,-0.0321276850431502
P1,S49,2,900,5,0,-0.0106391376075271,-0.00707143881376671,-0.00872463388211017,-0.0282592614960706,-0.0552756974807577
P1,S50,2,1000,5,0,-0.0253582589664426,-0.0254932628396352,0.0374469449452832,-0.0159063044676282,0.0038123175879924
P1,S51,2,100,6,0,0.0927850135832217,0.121902268121485,-0.0308918097775534,0.075075707859678,0.0916349072617232
P1,S52,2,200,6,0,0.0721503699335485,0.0883971644860417,-0.138348892764562,0.0596754979917981,0.056911351635455
P1,S53,2,300,6,0,0.0875699983212594,0.0283845676663792,-0.0241459872585861,0.0800820109744494,0.0948273789833595
P1,S54,2,400,6,0,0.0726711533778012,0.101496562558449,0.122433307733311,0.0571495459984784,0.112835232500484
P1,S55,2,500,6,0,-0.0637536068390507,-0.025518050008622,0.015433535622413,-0.0802406471478136,-0.0369585303066989
P1,S56,2,600,6,0,-0.00505105978255078,-0.00146766855570379,-0.0103946460338665,-0.0167275385092416,-0.0347910292649435
P1,S57,2,700,6,0,0.0250823472764847,0.00385341610913564,-0.00771411124287291,0.060859953359797,0.0454287930357152
P1,S58,2,800,6,0,-0.0374544711254854,-0.0210454745845891,-0.0659794765340334,-0.04593374760138,-0.061707972207042
P1,S59,2,900,6,0,-0.0644494250785298,-0.0226091368340322,0.0444807324789332,-0.0896528137569683,-0.0490012451226576
P1,S60,2,1000,6,0,0.0113099256851083,0.006394373630901,-0.00369153885582362,0.00666281588421622,0.0480053080748868
P1,S61,2,100,7,0,-0.0514603240316482,-0.00158854450251233,0.0354843431890716,-0.0781105774665576,-0.599680054240167
P1,S62,2,200,7,0,-0.0183179267723947,-0.0821890419487437,-0.0225119537479008,-0.0128335952193317,-0.0812972782816678
P1,S63,2,300,7,0,0.0269991769984036,-0.0133107019842564,0.0461711728536511,0.0587354796038238,-0.0211445552050499
P1,S64,2,400,7,0,0.0301739253833111,0.0132212297475203,0.0522084113215123,-0.00327494728296504,-0.0309520072809765
P1,S65,2,500,7,0,0.0144835089324126,0.0514733125796219,0.083580174292227,-0.000741497539762221,0.0166604054636735
P1,S66,2,600,7,0,0.0238448873783559,0.00552355272018334,0.04954303915987,0.055357863566666,0.00662889239110138
P1,S67,2,700,7,0,0.0219136954738253,0.0120635902707823,0.0709545357836014,0.017506578129382,0.0692233751891842
P1,S68,2,800,7,0,0.0204168083572192,0.0378927706961881,0.00571637684346576,0.0218091058248782,0.025711188218027
P1,S69,2,900,7,0,-0.0437889918573856,0.00284553083622194,-0.0136619486875145,-0.0405079212078556,-0.110233133624927
P1,S70,2,1000,7,0,0.0192451116315097,0.0290076922114324,0.052692889948179,0.00211668715913138,0.0128353310167469
P1,S71,2,100,8,0,-0.115749637207673,0.000829502332921083,-0.167692558466504,0.0141341283310076,NA
P1,S72,2,200,8,0,-0.105011040973112,-0.0499239455657959,0.0406426025873915,-0.137571680178427,NA
P1,S73,2,300,8,0,0.0325838903593833,0.00663946729600634,0.0400623920474064,-0.0323822767422056,NA
P1,S74,2,400,8,0,-0.0504643652722603,0.00866948525628125,0.048275041141701,0.0748807944897271,-0.0222421936950765
P1,S75,2,500,8,0,0.0270766678651675,0.0403098665606294,0.000130183564814027,0.0618718990165409,0.0563202727281396
P1,S76,2,600,8,0,-0.00364090696580352,0.00162439830945583,0.0358787772211278,0.0177144642934493,0.0535575577749709
P1,S77,2,700,8,0,0.0146243567075273,0.000992716218058027,0.016898945429414,-0.0187595836332497,0.00226605974891153
P1,S78,2,800,8,0,-0.0107561901453452,-0.0135197908045873,-0.0447508199195775,-0.0503776448788444,0.00462979812614799
P1,S79,2,900,8,0,0.0514731587175714,0.0271704835073259,0.0470112845737395,0.00579878938665184,0.0164683241018706
P1,S80,2,1000,8,0,-0.0601418280436115,-0.0335066318395611,-0.0748368790086348,-0.00511579266660666,0.0607133619760028
P2,S1,2,100,1,0.0796604046242782,0.190770424774842,0.198701109265619,0.0224635102386831,0.206819349858702,0.180068906065696
