Pop_Condition,Sample_Condition,NFac,SampleSize,NMissing,Pop12,Full12,SFA12,SFB12,SFC12,MI12
P1,S1,2,100,1,0,0.0673863902273712,0.0570316627684505,-0.0482435018825934,0.0694649588659022,0.0830700657349625
P1,S2,2,200,1,0,0.073596743669855,0.0799633422550818,0.12960636152578,0.0683138276381766,0.0683397337132755
P1,S3,2,300,1,0,0.0378077027993717,0.0460613439817301,0.0602744051762808,0.0392322422432794,0.0165969077801287
P1,S4,2,400,1,0,0.0244928495420718,0.0217797563722973,0.0127368666769105,0.0244158846645589,0.023264795153528
P1,S5,2,500,1,0,0.0577547074468896,0.0682011602507412,0.119819131860734,0.0520673198873991,0.0734710697746338
P1,S6,2,600,1,0,-0.0676875175048789,-0.0678496812299874,-0.047154581861541,-0.0671650903532947,-0.0850069360689412
P1,S7,2,700,1,0,0.0311002107699268,0.0119482810499904,-0.0185695397269358,0.0409871115832817,0.0310690045681444
P1,S8,2,800,1,0,0.0238351456322612,0.0137286784976001,0.0359721404989981,0.0114123083495065,0.0224778091985002
P1,S9,2,900,1,0,0.0324312362239097,0.0342357819463563,0.0222593786964091,0.032132649980997,0.0221284052717458
P1,S10,2,1000,1,0,-0.041415598933356,-0.043276353813898,-0.0709136599915296,-0.0543250524807017,-0.0443847000803645
P1,S11,2,100,2,0,0.0113228849916762,0.0122971717873491,-0.0918945612328972,0.04112827041992,0.00202711615994078
P1,S12,2,200,2,0,0.0596216397760528,0.0700821726971413,0.117866831692524,0.104365057001,0.0700716431905553
P1,S13,2,300,2,0,0.0570117810200394,0.0855356654852627,-0.0174070668153835,0.0639953393366185,0.0700386494490925
P1,S14,2,400,2,0,-0.00945387958424917,-0.0384725522468617,-0.0953065096177915,-0.00904714350305136,-0.0105376038691967
P1,S15,2,500,2,0,-0.0837782646845995,-0.100965825699679,0.04244322569836,-0.0729851687645902,-0.102134355228501
P1,S16,2,600,2,0,0.0136907504782149,0.00289179562054401,-0.0618156765803946,0.0181484218463897,0.00784559997583809
P1,S17,2,700,2,0,-0.0065645674942322,-0.0138050332651146,0.0401217964987293,-0.0139524024140549,0.00760495263908237
P1,S18,2,800,2,0,0.0982388074296997,0.104688620877176,0.044761137036621,0.0978196726926611,0.0819517010437839
P1,S19,2,900,2,0,-0.0345626981505152,-0.034733884857719,-0.00644642649062688,-0.044232320220775,-0.0278598279014956
P1,S20,2,1000,2,0,-0.0129384501955721,-0.0390509462181715,0.0153874722734244,-0.0227303007086337,-0.00956694854398264
P1,S21,2,100,3,0,-0.0289926282579189,-0.0455659581567381,0.112967249670289,-0.0536493594752054,-0.00929207640143069
P1,S22,2,200,3,0,0.0292092478621968,0.0814903080473147,-0.0516809146965281,0.0898883468616733,0.064533089245969
P1,S23,2,300,3,0,-0.0180658246988263,-0.0182346011488366,-0.0385903570788082,-0.0296168166038941,-0.00788110525307221
P1,S24,2,400,3,0,-0.0310183741041631,-0.0213489621498606,-0.0868930015778665,-0.0278336448320615,-0.0400157199914983
P1,S25,2,500,3,0,-0.0442667364161181,-0.0459381488829862,-0.0521716311276773,-0.0145623551885738,-0.093108602738005
P1,S26,2,600,3,0,-0.0116006834997445,0.0216192736215039,0.000903461432729401,-0.0105051517123741,0.0136328157529091
P1,S27,2,700,3,0,0.017337541204548,0.0224546931481188,0.0643911482115807,0.0366643124835924,0.0428564991283042
P1,S28,2,800,3,0,-0.0133537683489932,-0.0242443314856207,-0.0371012930869525,-0.00726469031466345,-0.0496026393241912
P1,S29,2,900,3,0,-0.0130941242056198,-0.0343636834011198,0.00204218656629707,-0.0186797051364338,-0.0113015434796278
P1,S30,2,1000,3,0,0.012098443593074,0.00229128386746679,0.0198152338973536,-0.00411571232737961,0.0304106702957786
P1,S31,2,100,4,0,0.00689297625496431,0.0373602349981929,0.0214665012864112,0.0787483077945045,-0.137363205248577
P1,S32,2,200,4,0,-0.102127342295898,-0.104634353899875,-0.085558753442897,-0.180181020168166,-0.177114249022661
P1,S33,2,300,4,0,0.0151563411098356,0.0452687910538546,0.0433562680044813,0.00769499441335871,0.0204713832959916
P1,S34,2,400,4,0,0.118500158916299,0.136744671761972,0.104252911411073,0.10649345359506,0.143072647619948
P1,S35,2,500,4,0,0.0386862540854328,0.0279893562935917,-0.00367743272289837,0.0711273548892118,0.0287982470027256
P1,S36,2,600,4,0,0.0137693210476765,0.0157262727314258,0.0591860203472047,0.0272585687227351,0.0180300368411573
P1,S37,2,700,4,0,-0.0792267071576334,-0.063746129828675,-0.119187131035792,-0.0587850976826811,-0.0921848580861707
P1,S38,2,800,4,0,-0.0208275062648968,-0.0283942589253625,-0.0115269410403061,-0.0352167606270206,-0.0364227036368772
P1,S39,2,900,4,0,-0.00590856877253493,-0.0140433726713789,0.00125509120701396,0.0160719548555727,-0.0367635891397953
P1,S40,2,1000,4,0,0.000515848684444582,-0.000755437852768724,-0.00567096555170968,0.00126515710571431,0.0284347068340515
P1,S41,2,100,5,0,0.0830106590912606,0.0684422837426783,0.0199860653504459,0.0891131388589861,0.0668853882558466
P1,S42,2,200,5,0,0.117880045495334,0.078742121493265,0.158529299090265,0.0807393128065804,0.122324170827181
P1,S43,2,300,5,0,0.112119593874348,0.0711123616025764,0.0175422670257339,0.0548938519413155,0.0453977499081612
P1,S44,2,400,5,0,-0.00548619286449608,-0.00747068475339892,-0.0246848449065761,-0.0494557052862709,0.0344095783518001
P1,S45,2,500,5,0,-0.00546166255713136,-0.00710763687551568,0.0206467073367388,-0.0112340491336726,-0.0260795699662367
P1,S46,2,600,5,0,-0.0412796003506591,-0.0251036853075121,-0.0422940271602678,-0.0418991512514088,-0.02836974986195
P1,S47,2,700,5,0,-0.0497258726178119,-0.0354426652827456,0.0170864576422189,-0.017576409950999,-0.0111013291007826
P1,S48,2,800,5,0,-0.000490629230047782,-0.00867822434034709,-0.0232197713246155,-0.0447625130454278,0.00524777088681485
P1,S49,2,900,5,0,0.0441156718433946,0.0509248583647107,-0.00498434432281039,-0.00561284123259651,0.0591081264856437
P1,S50,2,1000,5,0,0.0097577601431015,0.0139197299920309,0.010645571384695,0.0527253841189586,0.00279506707343956
P1,S51,2,100,6,0,0.0550544682766428,0.114590211390187,0.224798431391043,-0.0566911347237652,-0.00876447327098928
P1,S52,2,200,6,0,0.0342603391182293,0.0439196051277521,0.00355855240111344,0.00367084584647618,0.0564649139347112
P1,S53,2,300,6,0,0.0421835156992049,0.0913721015750119,0.0287882704358979,0.10761895390483,0.0774109823922344
P1,S54,2,400,6,0,0.062399529049693,0.100223861181514,0.0790248809830174,0.0673649965573484,0.1049709381824
P1,S55,2,500,6,0,0.0713487293542139,0.117382322849136,0.105951288767604,-0.0340883963920013,0.0679753527685091
P1,S56,2,600,6,0,0.000721713384953593,-0.0288518583250357,0.00400590635647087,-0.0346098891192559,0.0315191999553387
P1,S57,2,700,6,0,-0.0333300225637488,-0.0502993161670814,-0.0167738933276833,-0.0560916818278437,-0.0277815785018267
P1,S58,2,800,6,0,0.0615836938697769,0.0458790756485545,0.0479234823608247,0.0333998217217798,0.0103745459174155
P1,S59,2,900,6,0,-0.022309455338664,-0.00719485013142119,-0.0238799559595942,-0.0169822836526656,-0.0409997606513321
P1,S60,2,1000,6,0,0.00128755877783166,0.021025892657556,-0.0225255519397349,-0.0213775689964909,0.00660653291379835
P1,S61,2,100,7,0,0.156813588943507,0.118850215463822,0.000497632211365754,0.261229070258264,NA
P1,S62,2,200,7,0,0.0132095797974822,0.113539430700487,-0.0570842838832581,0.0296368096043395,-0.0953761834276094
P1,S63,2,300,7,0,0.0778641653281278,0.0414297246919328,0.12133768175974,0.0498479284461506,-0.0549130540425824
P1,S64,2,400,7,0,0.00801161639749626,0.03024801634429,0.0679255026044291,-0.00910809851236787,-0.0239931118735042
P1,S65,2,500,7,0,0.00219722560213742,0.0287532686171634,0.0984917731340224,0.0222275251226185,-0.0571025616748357
P1,S66,2,600,7,0,0.0523768469252432,0.0543968306040197,-0.0284058869698527,0.0565599182984504,0.0842221088730274
P1,S67,2,700,7,0,-0.0451871531325947,-0.0356219601236772,-0.00131827578621421,-0.0247887795065918,-0.0387015345750802
P1,S68,2,800,7,0,0.104367931969623,0.099750791800725,0.107370836131694,0.0432493822108067,0.0681831898684406
P1,S69,2,900,7,0,-0.023315295089538,-0.0370571628846074,-0.0240852947738963,-0.0267927847325794,-0.00331930677994917
P1,S70,2,1000,7,0,-0.0277059563403336,-0.00741309344887003,0.0308456529131011,0.00493688746381314,-0.00988957739322162
P1,S71,2,100,8,0,-0.0507653336171719,-0.0881853535023057,-0.0735413388808141,-0.00732030157220079,NA
P1,S72,2,200,8,0,-0.0773105729706589,-0.0610882491989913,-0.103810241944606,-0.110023753797464,NA
P1,S73,2,300,8,0,0.00504759622299007,0.0309314265666254,0.0431674157528062,-0.0232982038223639,NA
P1,S74,2,400,8,0,0.0241513812477216,-0.00454800917025739,-0.0758927432429854,-0.019313022155815,-0.0282952656319151
P1,S75,2,500,8,0,0.0182747549758488,0.0683260260209436,-0.100353845158609,0.000157832585735896,0.0578995928630669
P1,S76,2,600,8,0,-0.0275463788063623,-0.0520189601689636,-0.0360683152408762,0.0103923940297963,-0.0768556529176401
P1,S77,2,700,8,0,0.019759254055648,0.0195598650989247,0.0381428826199638,0.0359477976663737,0.0859877118667077
P1,S78,2,800,8,0,-0.0146892759825529,-0.0836948001767747,-0.0430076535808745,0.011536241354152,0.0162744939966572
P1,S79,2,900,8,0,0.0463543193217733,0.00159086943398243,-0.0132433756690533,0.0319817831490275,0.0880024958055964
P1,S80,2,1000,8,0,0.0492318703834158,0.00595067522250129,0.0212399951442978,0.0410716943814812,0.0664344365440887
P2,S1,2,100,1,0.0796604046242782,0.0590669652080017,0.0925985933545848,0.0587445430325378,0.0560781958077104,0.0864664795762924
P2,S2,2,200,1,0.0796604046242782,0.247982427803069,0.244887236826318,0.243891225174594,0.234687646966756,0.243165032085267
P2,S3,2,300,1,0.0796604046242782,0.0556700344558726,0.0509986933859666,0.0550030478066412,0.0671330013565394,0.0690334987550778
P2,S4,2,400,1,0.0796604046242782,0.0250797784663411,0.0206822035573113,0.0221662927813957,0.0288782277067398,0.0138013735433137
P2,S5,2,500,1,0.0796604046242782,0.122293306697911,0.102938834772353,0.0584817540048054,0.132108588682377,0.115444477867613
P2,S6,2,600,1,0.0796604046242782,0.0633379476076714,0.0740187290020721,0.083114645949756,0.0603185418442249,0.0738990121071133
P2,S7,2,700,1,0.0796604046242782,0.184233949981054,0.176113908421418,0.140576689465394,0.159610960127388,0.180750771348726
P2,S8,2,800,1,0.0796604046242782,0.106070902532284,0.101466856669652,0.113956747943308,0.110672155902575,0.104338148884767
P2,S9,2,900,1,0.0796604046242782,0.0381453079214569,0.0355708173486389,0.0627394957096963,0.0345618188127708,0.0457941130643964
P2,S10,2,1000,1,0.0796604046242782,0.0686864397365552,0.0680696895959323,0.0703344153641688,0.0578481320368967,0.077140448393211
P2,S11,2,100,2,0.0796604046242782,0.0749050083509765,0.10077043330297,0.197592103498526,0.0668762477897202,0.0783397118635177
P2,S12,2,200,2,0.0796604046242782,0.173821292700141,0.195829009877436,0.146627119931714,0.165662572321978,0.142591859785332
P2,S13,2,300,2,0.0796604046242782,0.0419692434621747,0.100683855789063,-0.0702903412742842,0.0374350417849104,0.0973610525904926
P2,S14,2,400,2,0.0796604046242782,0.164528272634836,0.128078817528764,0.117849261526418,0.129523815989842,0.185263558407526
P2,S15,2,500,2,0.0796604046242782,0.159010498804269,0.175796746885574,0.153168677022844,0.165973668624325,0.149891057702166
P2,S16,2,600,2,0.0796604046242782,0.0595427160781611,0.0547840895523576,0.0775326772968097,0.0843423105321374,0.0533991512631609
P2,S17,2,700,2,0.0796604046242782,0.0468719458692744,0.0400993326693725,0.0572052385237102,0.037743013029866,0.0514780263676994
P2,S18,2,800,2,0.0796604046242782,0.124088365201753,0.129557048345553,0.129491724265275,0.130774363265375,0.134181968239307
P2,S19,2,900,2,0.0796604046242782,0.0700422350287019,0.0771399849595264,0.0861523943446469,0.0666730000203247,0.0737046503592325
P2,S20,2,1000,2,0.0796604046242782,0.0859442756945897,0.0767755233516719,0.0568528027070324,0.0678380463548844,0.106420249625337
P2,S21,2,100,3,0.0796604046242782,-0.0683622139838795,-0.00356517534072893,0.0806167121143627,-0.0517696476123298,-0.0822493606012177
P2,S22,2,200,3,0.0796604046242782,0.0183819126332554,0.0120126972652194,-0.087842886252517,0.0172077254233333,0.0381990098312418
P2,S23,2,300,3,0.0796604046242782,-0.0443795711249608,-0.0320401634207359,-0.0925144000269995,-0.0430020661745076,-0.0776893754062873
P2,S24,2,400,3,0.0796604046242782,0.122198287880686,0.112201050677391,0.112619536790919,0.117835465616995,0.138346322642531
P2,S25,2,500,3,0.0796604046242782,0.104798561997505,0.108857209442688,0.147211806993284,0.12673256968248,0.121251986939262
P2,S26,2,600,3,0.0796604046242782,0.163703644585269,0.133393375244022,0.0886354677277151,0.142835506052491,0.152714090788172
P2,S27,2,700,3,0.0796604046242782,0.071382551060957,0.0735743164336307,0.101263681258929,0.0652261685795907,0.0804049349037012
P2,S28,2,800,3,0.0796604046242782,0.054788147533318,0.0629402617661839,0.113406174374704,0.0553899027835215,0.055746166414597
P2,S29,2,900,3,0.0796604046242782,0.144059950913507,0.158321296914276,0.130093009973056,0.124560832217753,0.148034268483461
P2,S30,2,1000,3,0.0796604046242782,0.104358218957648,0.106261500998711,0.157015677321089,0.0955792706722519,0.111733205863862
P2,S31,2,100,4,0.0796604046242782,0.135557243463157,0.110614463344908,0.0475387199492237,0.172698157248062,0.0915187921162914
P2,S32,2,200,4,0.0796604046242782,-0.0024947235784548,0.000887201253022083,-0.161401104951521,-0.0480957238279723,0.000620024227124903
P2,S33,2,300,4,0.0796604046242782,0.077523583756433,0.0431840410511736,0.00287800221069284,0.0385084348239087,-0.0260024512655083
P2,S34,2,400,4,0.0796604046242782,0.154662022832244,0.130360138354373,0.104895944509587,0.14012581688154,0.17402649796512
P2,S35,2,500,4,0.0796604046242782,0.121580048786492,0.101729684855314,0.0779366549684534,0.11288376790736,0.103087028820967
P2,S36,2,600,4,0.0796604046242782,0.0421861787433507,0.023192373120511,0.10175810867915,0.0667710802093513,-0.0165151317939036
P2,S37,2,700,4,0.0796604046242782,0.0639556856707593,0.0648271488048455,0.0396330101516939,0.0479566427194574,0.0604480234599511
P2,S38,2,800,4,0.0796604046242782,-0.011003620887173,0.00841851528146978,-0.00368633453354439,0.00927806748854843,-0.0181975017476223
P2,S39,2,900,4,0.0796604046242782,0.0692934467272478,0.0355540065037082,0.0601968398972473,0.0532792155681672,0.0964533855322177
P2,S40,2,1000,4,0.0796604046242782,0.0736238673506505,0.0644781654310586,0.0446593465686787,0.0564364681776103,0.107270850539525
P2,S41,2,100,5,0.0796604046242782,0.0996824320409682,-0.00879929878092137,0.00263562014780484,0.151733657372528,0.216047008359875
P2,S42,2,200,5,0.0796604046242782,0.092896939915404,0.0792755931436704,0.10791529218496,0.0356080195863687,0.00720592106697963
P2,S43,2,300,5,0.0796604046242782,0.096765997472078,0.105386450275015,0.0611769450137067,0.0751878702354389,0.119860765498577
P2,S44,2,400,5,0.0796604046242782,0.173698712416475,0.133223398791597,0.1229664517062,0.118160735304639,0.163540662721571
P2,S45,2,500,5,0.0796604046242782,0.0953163505032593,0.0890106618787537,0.119176557331056,0.091661859643922,0.141237187393688
P2,S46,2,600,5,0.0796604046242782,0.131261706771996,0.11815819197316,0.209735024727342,0.0791446875229755,0.118469950696282
P2,S47,2,700,5,0.0796604046242782,0.129718216974066,0.110246649725912,0.0764727534405306,0.128427584506532,0.146944135074856
