Pop_Condition,Sample_Condition,NFac,SampleSize,NMissing,Pop12,Full12,SFA12,SFB12,SFC12,MI12
P1,S1,2,100,1,0,0.0192957901140239,0.00550074784558275,0.0123209742234822,0.0413418640632596,-0.0303043124049385
P1,S2,2,200,1,0,-0.0952820143927415,-0.0789897340990771,-0.0918643738486447,-0.0856664701796463,-0.071409319766924
P1,S3,2,300,1,0,-0.0561408691035997,-0.0600282401280543,0.00440307258733404,-0.034735274767358,-0.0649997890710413
P1,S4,2,400,1,0,-0.0535194360420513,-0.0477351371631967,-0.106546418139151,-0.0527713069456357,-0.0485328727941368
P1,S5,2,500,1,0,-0.0207865055464933,-0.0079917678337759,-0.067314259843678,-0.0280029949788443,-0.0355711530024523
P1,S6,2,600,1,0,0.0339382421952921,0.029121798072809,0.0982366243463863,0.0379833120118939,0.0441661186856601
P1,S7,2,700,1,0,-0.0339518529639727,-0.0340448612949711,-0.0452176313453169,-0.034948002488589,-0.0297484830464023
P1,S8,2,800,1,0,-0.0157452199402208,-0.00597004295080483,0.0155099192287015,-0.0148878197668591,-0.0221615397811167
P1,S9,2,900,1,0,-0.0221236873687347,-0.0241147064428403,-0.0236587875213549,-0.0249528580039549,-0.0229835639191445
P1,S10,2,1000,1,0,0.0226428472858879,0.0214251615065869,0.0227398836093123,0.0275486479246387,0.0174435430825043
P1,S11,2,100,2,0,0.0961057235966536,0.134974087997718,0.0103592084637252,0.079513527246894,0.0523575306075743
P1,S12,2,200,2,0,0.072323703891642,0.0658698094597699,-0.0388153688124553,0.0806124380845582,0.0452034787233653
P1,S13,2,300,2,0,-0.00966742427694175,-0.0235771693096692,0.0456121374613465,-0.0159494927077054,-0.0232878587947977
P1,S14,2,400,2,0,-0.0519593865576524,-0.0648621435141923,-0.0706465032923379,-0.0536522403972804,-0.0437809255570546
P1,S15,2,500,2,0,0.0254198689488573,0.0224049954728319,0.0462813472741846,0.0234311872136692,0.0235496154449748
P1,S16,2,600,2,0,-0.000276278638395898,0.0158219535007576,0.0586295674064933,-0.0212433714301219,-0.00444081858861905
P1,S17,2,700,2,0,0.055117084243771,0.0428897435313453,0.0026585517645766,0.0605649332745487,0.0445572929910848
P1,S18,2,800,2,0,0.00522581201978253,0.00766013530881358,0.00821178513562357,-0.00675411440869293,-0.00657939751873957
P1,S19,2,900,2,0,0.0308274862616895,0.0286141995714308,0.102404281505059,0.0181007338574864,0.0441923840665502
P1,S20,2,1000,2,0,0.0411294009011366,0.0415235863675758,0.0444607307047302,0.0553629309044885,0.0366712550829021
P1,S21,2,100,3,0,0.0982855841076517,0.106802706899864,-0.0605717407597274,0.0976211886965022,0.0498303202124847
P1,S22,2,200,3,0,-0.0865802027521916,-0.0899860378070013,-0.111949991032381,-0.0861525942598268,-0.0660734015836638
P1,S23,2,300,3,0,0.0577210099524915,0.0487494883822498,0.120703811679325,0.0515857779173642,0.0582532078452609
P1,S24,2,400,3,0,-0.0191987729542628,-0.0145109172886764,-0.0611176978176644,-0.0359247006227499,-0.00196971899679707
P1,S25,2,500,3,0,0.0319624250140279,0.0446975831100299,0.10261991147572,-0.011919256416465,0.019395785517817
P1,S26,2,600,3,0,0.0595108188106364,0.0675556047004781,0.0131335553501616,0.0798911685663284,0.0532366962180459
P1,S27,2,700,3,0,-0.0626560015381802,-0.050104757922054,-0.118342577228657,-0.0230409135616592,-0.082560362229195
P1,S28,2,800,3,0,0.00358447844972854,0.00526875306585528,0.0212031159093816,0.0130106916353778,-0.0149009881528809
P1,S29,2,900,3,0,-0.0428352533126667,-0.0226987608398522,-0.0642765259709402,-0.0512867670617136,-0.0554824850774998
P1,S30,2,1000,3,0,-0.00105127343110193,-0.00168762522628363,-0.00938277958777149,-0.0290591026358995,-0.00243162513644951
P1,S31,2,100,4,0,0.0224143317993838,0.0289763445969151,-0.0184422301393518,0.0250565150981417,-0.0540856244053852
P1,S32,2,200,4,0,-0.0286119555683633,-0.0384074603168811,0.0387717985225451,-0.0253462393873445,-0.00560039577485057
P1,S33,2,300,4,0,-0.0349309010742751,-0.0175202835001026,0.0149988367993463,-0.0319876760783252,-0.00654006401938118
P1,S34,2,400,4,0,0.0155256730590268,-0.0309293991207896,0.0659249597646725,0.0206678355278834,0.0071510441516971
P1,S35,2,500,4,0,-0.0401618713013476,-0.0535984195246118,-0.0211018172236742,-0.00874138231148884,-0.0259622824887426
P1,S36,2,600,4,0,-0.046470814852495,-0.0166421941539881,-0.0332635378817664,-0.0376869385528342,-0.0729001945705052
P1,S37,2,700,4,0,-0.00215433862981156,-0.01071442761265,-0.0473751615380391,0.00321531625570194,0.0286806845419901
P1,S38,2,800,4,0,-0.0667538343175258,-0.0349845066356535,-0.00792458541047143,-0.0759612312173211,-0.0536583572453494
P1,S39,2,900,4,0,-0.000834791727249516,0.0148361924198518,-0.00582510446206592,-0.00421009854543784,-0.0278119354687086
P1,S40,2,1000,4,0,-0.000207894879693892,-0.00345405955132661,-0.0182646306914352,0.00832115878875036,0.0236445822779269
P1,S41,2,100,5,0,-0.0112592301578928,-0.0673264366479673,-0.149828462186444,-0.0646231154641368,0.0245160386695705
P1,S42,2,200,5,0,-0.0649125317197598,-0.0419758472379744,-0.109196437305562,-0.0776196541270102,-0.0900052194030013
P1,S43,2,300,5,0,0.00296765262936664,0.0346697796232551,0.00580023628339932,-0.0850695576381086,-0.054014954158999
P1,S44,2,400,5,0,0.0656571746460747,0.0115544787515295,0.0818912445115986,0.0224487137312889,0.0735015578391618
P1,S45,2,500,5,0,-0.0624914268251439,-0.0233805837081859,-0.00337985333526944,-0.0693229222659432,-0.0176814865766148
P1,S46,2,600,5,0,-0.000714533846290389,-0.0168581464894064,0.000458001086679788,-0.0195670445320151,0.0306462192506036
P1,S47,2,700,5,0,-0.0394204509102899,-0.0504439058684661,-0.0630446445014001,-0.0405043299838812,-0.040462670369762
P1,S48,2,800,5,0,0.0561779899300808,0.0366646615159556,-0.023191760516863,0.0404182515543598,0.0625353842952265
P1,S49,2,900,5,0,-0.00803164908654382,-0.00272794114828635,-0.0222606079984651,-0.00215177531948369,0.0117775388666852
P1,S50,2,1000,5,0,0.0108567051046663,0.0203583992998096,0.0342684036677833,0.017365526825008,0.0390716643909707
P1,S51,2,100,6,0,0.135198022424917,0.144466576587005,0.317525315460777,0.115281621302636,0.0126806871632935
P1,S52,2,200,6,0,0.0843480748091084,0.0837300156867366,0.0306142547884253,0.0336168683603056,0.0342391676221132
P1,S53,2,300,6,0,-0.093758342257736,-0.0696833117974614,-0.123588724064145,-0.105240460343744,-0.0731199054699953
P1,S54,2,400,6,0,0.0300504694339053,-0.037683382189516,-0.0225853970989733,-0.00761387390178792,0.0410670138435509
P1,S55,2,500,6,0,-0.0201278090090525,-0.0117028118677386,-0.014880235418184,0.00260660883912846,-0.0615963033586477
P1,S56,2,600,6,0,0.0482830566954511,0.0255261486696588,0.0432234248036887,0.0682646633701819,-0.000983342620608204
P1,S57,2,700,6,0,0.0397549994679448,0.0234508091871992,-0.00494634926642531,0.00955439909340714,0.0025424304782923
P1,S58,2,800,6,0,-0.0217656452732646,-0.0133474606297069,-0.0473603168844996,-0.0351748201681933,-0.0121492974119689
P1,S59,2,900,6,0,-0.0242016873089462,-0.0121867247804059,-0.0444064464980751,0.0114821323452979,0.0140412503592193
P1,S60,2,1000,6,0,-0.0113579013389869,-0.0324853261216314,-0.0212946289789712,-0.00558293530589652,-0.046896315141788
P1,S61,2,100,7,0,-0.0922334812902094,-0.0827538618145985,-0.268583108457002,0.0722388391181824,NA
P1,S62,2,200,7,0,0.0247215484638611,-0.0395656461490028,-0.125414572381897,-0.0267797464925272,0.0648195554184271
P1,S63,2,300,7,0,0.0652127375684903,0.0560466506152854,0.0324044499155766,0.0309147817362958,-0.103520037937739
P1,S64,2,400,7,0,-0.024687716031668,0.0252225150612488,0.030044446641958,0.0431389491511069,-0.019942517739566
