Pop_Condition,Sample_Condition,NFac,SampleSize,NMissing,Pop12,Full12,SFA12,SFB12,SFC12,MI12
P1,S1,2,100,1,0,-0.0865484430954921,-0.098757873532802,0.134814289210261,-0.0839305922130877,-0.0652783945709418
P1,S2,2,200,1,0,0.052130258228069,0.0551050418973184,0.0772163275648074,0.0486583910641147,0.0679269790749436
P1,S3,2,300,1,0,0.0280882846286217,0.0248051360947244,-0.073473384712372,0.024635593625013,0.0337085283578647
P1,S4,2,400,1,0,-0.0433069278462335,-0.0417414740261748,-0.092574546717264,-0.0538476345999263,-0.0373397954061248
P1,S5,2,500,1,0,-0.0555317429458001,-0.0509346857350946,-0.0998015535508188,-0.0435056045190202,-0.0565826593856297
P1,S6,2,600,1,0,-0.0118066854922993,0.00301416564130993,0.0546612431697923,-0.0170111997263149,-0.0200294560624474
P1,S7,2,700,1,0,0.0731163462169791,0.0659949036870785,0.108966805594026,0.0854067048241662,0.0686517248195078
P1,S8,2,800,1,0,0.0240977487526742,0.0211905672894267,0.081499205062596,0.0147922596783337,0.0253407639537737
P1,S9,2,900,1,0,0.0446333854733552,0.0520655099423383,0.0538327044837518,0.0411693178136957,0.054188699665793
P1,S10,2,1000,1,0,-0.0624343018175388,-0.0547531112756394,0.0392408626742152,-0.0488260923349198,-0.0525199618578315
P1,S11,2,100,2,0,0.106182767962117,0.0830295120755408,0.0514120365968582,0.0995034709119082,0.171248026348888
P1,S12,2,200,2,0,0.00467175343360001,0.0195066973454114,-0.00641881170704071,0.00486546329742087,-0.00123809371233248
P1,S13,2,300,2,0,0.0519916120345159,0.0640198797934876,0.172839601251496,0.0499791952787626,0.0599129917325544
P1,S14,2,400,2,0,-0.0809350776315834,-0.0558066438733718,-0.0742543205613477,-0.0768080840090641,-0.0998134521638825
P1,S15,2,500,2,0,-0.0166683259105544,-0.00371787953408676,-0.00504335276567896,-0.0110198858826595,-0.0157200288556529
P1,S16,2,600,2,0,-0.072745928583178,-0.0554517969390481,-0.0101896075650936,-0.0646560911145096,-0.0906669615370227
P1,S17,2,700,2,0,-0.0646974330649615,-0.0678649725530669,-0.10342603621612,-0.0643037743800368,-0.086869099545291
P1,S18,2,800,2,0,0.0818623235022698,0.0791168278644922,0.0278711276817494,0.0685219467741822,0.10138733379201
P1,S19,2,900,2,0,0.0405926442131598,0.0298842902103901,0.063205585650181,0.034154149966353,0.0407665483442936
P1,S20,2,1000,2,0,-0.0524717300789615,-0.0678122573616316,-0.0253016790405412,-0.050820090549865,-0.0431521623289282
P1,S21,2,100,3,0,0.205078642564821,0.138481456807006,0.202090544193686,0.198173639602117,0.208479448813305
P1,S22,2,200,3,0,-0.0495880751334276,0.0315151166899806,0.00876433005879574,-0.0681297776611271,-0.105341200473736
P1,S23,2,300,3,0,-0.051814062554595,-0.0475260427447319,-0.0949062317507091,0.00915354356443011,-0.0352763207197652
P1,S24,2,400,3,0,0.0143360955343,0.0254989603556218,-0.0213892801510513,-0.0166244347274578,0.019130341157939
P1,S25,2,500,3,0,0.0210778089864278,0.0263511270051108,0.00834859243212285,0.0287917000009243,0.0193959876533056
P1,S26,2,600,3,0,-0.00080911305557798,-0.0196175561405422,-0.0470558027708666,0.00369518987351119,0.0059580525970401
P1,S27,2,700,3,0,0.0140777663098349,0.0179794883501344,0.00241730021382206,0.0155241386000758,0.0147450660748994
P1,S28,2,800,3,0,-0.0125762752248157,-0.00920802853940217,-0.00641628745941474,-0.0177810680551808,-0.0163806512600514
P1,S29,2,900,3,0,0.0095945616992901,8.61106363274909e-05,0.0464834909230299,0.0164646355606198,0.00965169489777951
P1,S30,2,1000,3,0,5.19388770962148e-05,-0.0037101498893324,-0.0187725272701149,0.0181466064219739,-0.0139865007386842
P1,S31,2,100,4,0,-0.0230324734196017,-0.0152856226901469,-0.157625337402058,-0.0199486601558392,-0.0999542524404467
P1,S32,2,200,4,0,-0.0379764997115246,-0.00745850102170766,0.00575679594773051,-0.00336022956643241,-0.0489216204648419
P1,S33,2,300,4,0,-0.0354711423277709,-0.0261822307514397,-0.00915569989560221,-0.0650242754763228,-0.0149218799622876
P1,S34,2,400,4,0,0.0266828153086091,0.0543411554121201,0.00442930041872715,0.0672990499315969,0.0471042430657223
P1,S35,2,500,4,0,0.00490838621627581,0.0236058394598687,0.0105618059472165,-0.0103842020412873,-0.00796388750371472
P1,S36,2,600,4,0,0.013491334347201,0.0162929767826653,0.0136539084286419,0.0255190803977569,0.0530783603944132
P1,S37,2,700,4,0,0.0068358946855691,-0.00470417998404229,0.0244862902788557,-0.0120994096759064,-0.0224375084869503
P1,S38,2,800,4,0,0.0524740794388833,0.0463134613804801,0.0512581504429738,0.049511230500423,0.0423315938451272
P1,S39,2,900,4,0,-0.0443536243593693,-0.0635676514689152,-0.067190497511643,-0.0309248153905345,-0.0403812436149739
P1,S40,2,1000,4,0,-0.0366475353222033,-0.0434035461012964,-0.0600935739741595,-0.0156874721967567,-0.0542342292568465
P1,S41,2,100,5,0,0.132498989586594,0.188730784736012,0.387933175520195,0.102192846233002,-0.00933026816738844
P1,S42,2,200,5,0,0.0617518209261847,0.0916082128624029,0.100854439506411,0.00530342454508565,0.080586847903332
P1,S43,2,300,5,0,0.000991394226428145,0.0539023598007225,-0.0103576734949857,0.0337383397000739,-0.0171491873747552
P1,S44,2,400,5,0,0.0343743718072275,0.00259633911002618,-0.0470290562139396,0.00833815222671549,0.0203817355554044
P1,S45,2,500,5,0,0.00414319726346644,-0.000518098007520843,0.00140208378259456,-0.01614392560283,-0.0110292147647895
P1,S46,2,600,5,0,-0.0107222026400754,-0.0203046737931064,0.0226911246122096,0.00831598151747916,0.0440632155076071
P1,S47,2,700,5,0,0.00845168990624107,0.00514350660363,-0.02963978732828,0.0214499225839518,0.0226102783281489
P1,S48,2,800,5,0,0.0110834694721438,0.0237198013784675,-0.00234120231431626,0.013628414979492,-0.0194471908010325
P1,S49,2,900,5,0,0.013474884399373,0.0217483789495656,0.0349126836069359,-0.00287468568088341,0.0208597818202265
P1,S50,2,1000,5,0,0.0167526996316807,0.00975900320755412,0.00866695879858164,0.0114328236052273,-0.0047143593328638
P1,S51,2,100,6,0,0.074827873828437,0.011046108291854,0.0910334545585882,0.108328317829112,-0.0387277989946978
P1,S52,2,200,6,0,0.0621746901019132,0.0613136374714492,-0.0538758170208218,0.0595261676805491,0.0935135654669256
P1,S53,2,300,6,0,0.0229022941286705,-0.0187509051607444,-0.00671486978782302,-0.0355919158884395,-0.0850133214102145
P1,S54,2,400,6,0,-0.0366896056063097,-0.0927862273394027,-0.0615909000507391,-0.100590030099986,-0.056562782890406
P1,S55,2,500,6,0,0.0585764177441497,0.111591145508314,0.133710311542973,0.0725726274637465,0.061603369169062
P1,S56,2,600,6,0,0.0415722101307798,0.0213216878467049,-0.00587068886432735,0.0383017725912203,0.0521180669576787
P1,S57,2,700,6,0,-0.0149526608699384,-0.0394461804247411,-0.0207030886765994,-0.0194742192672763,-0.0425551784543423
