Pop_Condition,Sample_Condition,NFac,SampleSize,NMissing,Pop12,Full12,SFA12,SFB12,SFC12,MI12
P1,S1,2,100,1,0,-0.0130239225441718,-0.0407108456499856,0.297404395632876,-0.00583709766716029,0.00843170680193024
P1,S2,2,200,1,0,-0.0136924619284584,-0.0318739283473296,0.0730687620027846,-0.00449172652147088,-0.0191925231041336
P1,S3,2,300,1,0,-0.0964399579717467,-0.0918176613703446,-0.204120346798926,-0.11091267783279,-0.0974626293276889
P1,S4,2,400,1,0,-0.051816963029579,-0.0371322213137421,-0.0216474953755717,-0.0570238244487726,-0.0603932481247993
P1,S5,2,500,1,0,-0.0340721304391571,-0.0163218548142633,0.0491078458385533,-0.0405650384760966,-0.0279463057173404
P1,S6,2,600,1,0,0.0236343623826634,0.0368800605450943,0.0498620118374394,0.0322198255108389,0.0272105660839844
P1,S7,2,700,1,0,0.0225497305909422,0.0204096506420261,0.00137544093740344,0.0163451000975267,0.0117123249991998
P1,S8,2,800,1,0,0.00916132896738065,0.01503666390921,0.0608784602631985,0.00977037215989292,0.00290793542930953
P1,S9,2,900,1,0,-0.00315192552956143,-0.00558059574627132,-0.00428206793920785,-0.0135392110147324,-0.0121697991569986
P1,S10,2,1000,1,0,0.0145163010995094,0.012073349373921,-0.000751916219800919,0.0127955389350812,0.00575662875261357
P1,S11,2,100,2,0,-0.000343364875610847,0.0532440635511306,-0.0342524133598731,0.023895352366279,0.00699526062928668
P1,S12,2,200,2,0,-0.110431962117998,-0.0868789603444816,-0.0302162021882574,-0.0969956605603923,-0.0957956532447197
P1,S13,2,300,2,0,0.130252622365581,0.112010700099775,0.0826779280591744,0.169418914105427,0.116391866886504
P1,S14,2,400,2,0,-0.114704920878431,-0.102909659707046,-0.117576078455677,-0.115961797398574,-0.108549819966852
P1,S15,2,500,2,0,-0.0545258663270384,-0.0621955761450209,-0.0162510862752584,-0.0441832617983346,-0.0720007398377498
P1,S16,2,600,2,0,0.0433476464474822,0.0422221561028541,0.0355263842551921,0.0383735958999698,0.0593514774737885
P1,S17,2,700,2,0,-0.0135757752314366,-0.0267433891332603,-0.013450202696393,-0.0088130133945161,0.0011123614217696
P1,S18,2,800,2,0,-0.0179996346295233,-0.00824942275478236,0.0196987786454869,0.00619915109358813,-0.0100690814903174
P1,S19,2,900,2,0,-0.020084561483542,-0.0205072521931073,-0.0140293269037119,-0.00655853769301259,-0.0137476272021606
P1,S20,2,1000,2,0,0.014812712489414,0.0076693052598822,0.000234275739920482,0.0132184278439698,0.0220207737685053
P1,S21,2,100,3,0,-0.0194997773999826,-0.0767347261706434,-0.00435550784463815,-0.0238205565687118,-0.0510893065449885
P1,S22,2,200,3,0,0.0694324459966886,0.042680450132357,0.0076904863979989,0.048098834995994,0.063054180764263
P1,S23,2,300,3,0,-0.0363489185355944,-0.00234284924488405,-0.0560665141332084,-0.0539396151082197,-0.0459847329653744
P1,S24,2,400,3,0,-0.0184596786010622,-0.0169620610339003,-0.0697040420494807,-0.0358144520769982,-0.0249187001306954
P1,S25,2,500,3,0,0.00186441671252523,0.00498740300319759,-0.0231826242769102,-0.00571124499366534,-0.0279992448455811
P1,S26,2,600,3,0,0.00196437390465139,0.00204744010685754,-0.0426003813076546,-0.0208130394925844,0.00714811349316075
P1,S27,2,700,3,0,0.0281507399839967,0.0250685284306074,0.0112601046802763,0.01325959163147,0.0183739012885422
P1,S28,2,800,3,0,-0.0226287828553482,-0.0219738740955458,0.0336635529156698,-0.0439601253702753,-0.0235361476284246
P1,S29,2,900,3,0,-0.0182012399822104,-0.0358655402741394,-0.0732921856474488,-0.00997192379267122,-0.0143290114622146
P1,S30,2,1000,3,0,-0.00854540997462261,0.00613517936291943,-0.0448988219959794,-0.00181904974377759,-0.0140506838074876
P1,S31,2,100,4,0,0.043182170880188,0.0253792350483932,-0.0255618067955463,0.047867196169215,0.12356978525249
P1,S32,2,200,4,0,-0.0252161491743245,-0.0422968348748203,-0.00493396265266991,-0.0472692229072236,0.00548659535468209
P1,S33,2,300,4,0,0.0944126817711265,0.0547202894762433,0.098868661091593,0.0481807851514022,0.12621431149334
P1,S34,2,400,4,0,-0.00566980119406098,0.00619870798865278,0.0219550637743713,-0.0190720655576534,-0.0288862339417032
P1,S35,2,500,4,0,-0.00800104628029423,-0.0363384151143457,-0.0530574076174964,-0.0276426311077466,-0.0176602623427124
P1,S36,2,600,4,0,-0.0398263868195179,-0.014979979446423,-0.0675544534951532,-0.0199938471144445,-0.025417654090051
