Pop_Condition,Sample_Condition,NFac,SampleSize,NMissing,Pop12,Full12,SFA12,SFB12,SFC12,MI12
P1,S1,2,100,1,0,0.0810569514063958,0.0697079222767242,-0.0501694231982941,0.0888614245718173,0.0593079771866882
P1,S2,2,200,1,0,0.00209307720528502,0.021614271275737,-0.00463075551121807,-0.012205866208268,-0.00721368148139856
P1,S3,2,300,1,0,-0.0437749742460037,-0.0636741745311986,-0.0473991769347218,-0.0619083573490182,-0.0434253995433296
P1,S4,2,400,1,0,-0.0599956038693584,-0.0533663012658464,-0.0289511337232372,-0.0449874710852106,-0.0719764479757342
P1,S5,2,500,1,0,-0.0383311611934772,-0.0388031178928982,0.0241032848748298,-0.0467683528838746,-0.0338000075854813
P1,S6,2,600,1,0,0.00116633836679515,0.00415851905133737,0.0321325032718987,0.000756359832751685,-0.00887025701169561
P1,S7,2,700,1,0,0.0144552666860977,0.0262082273794611,-0.00770793187112963,0.016443075043244,0.0137221341768904
P1,S8,2,800,1,0,-0.0100067141916866,-0.00403359652082221,-0.0205092338085605,-0.0045151620455501,-0.00390080065093471
P1,S9,2,900,1,0,-0.0201207150280753,-0.025458097035509,0.0387556727995957,-0.0242792744245397,-0.0184701165495396
P1,S10,2,1000,1,0,-0.011227496525522,-0.00117127788836458,-0.0209757141723668,-0.00965959530172143,-0.0175745901277025
P1,S11,2,100,2,0,-0.0799867236961016,-0.0592904188237637,-0.0814881323702168,-0.0487215006362793,-0.137088540732341
P1,S12,2,200,2,0,-0.0735401393849996,-0.0383765348091364,-0.0830896332575527,-0.00738267865870775,-0.106262784896007
P1,S13,2,300,2,0,-0.0255220933265694,-0.0702228431955475,-0.0103831821602234,-0.0382711552967212,-0.0133440225821886
P1,S14,2,400,2,0,-0.0427988775808481,-0.0416596276041988,0.0310137945232371,-0.00935515287938284,-0.0439586576087064
P1,S15,2,500,2,0,0.0546928787610223,0.0664308048971696,0.0519989117651578,0.0535651258754761,0.0558290582052061
P1,S16,2,600,2,0,-0.0420868933889031,-0.0487982784334014,-0.0548141777667652,-0.0548078561466867,-0.0321930596010738
P1,S17,2,700,2,0,-0.0239928275082926,-0.012374444341106,-0.0331104543781941,-0.0333617561256523,-0.0275980435365268
P1,S18,2,800,2,0,0.0107090262759301,0.00911409470978208,0.0216601933217677,0.00703718009250709,0.000246144173968633
P1,S19,2,900,2,0,-0.0317204061426522,0.00407451891892537,0.047137024396187,-0.0259507731002442,-0.0483302285987221
P1,S20,2,1000,2,0,-0.0108951820028214,-0.010395987611542,-0.0680967518722062,-0.00712942901006807,-0.0045205665559461
P1,S21,2,100,3,0,0.0625152870041821,0.0756866822679088,0.181255285925247,0.0595646434586486,-0.0369532917195484
P1,S22,2,200,3,0,-0.11621694542584,-0.11765577406202,-0.084370197994738,-0.104890024698998,-0.13488165807948
P1,S23,2,300,3,0,0.079085927725704,0.06246847398191,0.0878346518650851,0.0723239698423322,0.0697709038653513
P1,S24,2,400,3,0,-0.131222370461228,-0.122081312842228,-0.120807690722459,-0.0945350638730671,-0.131845230183556
P1,S25,2,500,3,0,0.0136775999743623,0.0132832288926033,0.0162793375990463,0.0051147885791863,0.00321861741177706
P1,S26,2,600,3,0,-0.0217274023055083,-0.0101977733548086,-0.0161217143969086,-0.0360900505789874,-0.031731133969408
P1,S27,2,700,3,0,0.000581271356726051,-0.0265177861275024,-0.031412014509617,-0.0329060183120757,-0.0180224995164049
P1,S28,2,800,3,0,0.024561523171993,0.0262273343119341,0.00582352107147648,0.0436704459139891,0.0529789662329822
P1,S29,2,900,3,0,-0.000118691066071745,-0.00202320549007982,0.0791480309693873,0.00135491974178146,-0.00697200226642636
P1,S30,2,1000,3,0,0.0171832934221747,0.00647607570259905,0.00305893616898877,0.00885124087117072,0.021546621125699
P1,S31,2,100,4,0,0.1810440968631,0.167885044496918,0.194534090022277,0.30097043443977,0.160038584393761
P1,S32,2,200,4,0,-0.0391103763265237,-0.0770963036135369,-0.126673119061075,-0.0468848347224187,-0.103336304939248
P1,S33,2,300,4,0,-0.00668464259875551,-0.0085258973991311,0.013525412284704,0.0232571957873521,0.00305520062198368
P1,S34,2,400,4,0,-0.035327558267366,0.0118108237398717,-0.0512726231442561,-0.00739651834347611,-0.0306067309895553
P1,S35,2,500,4,0,-0.0220471193346762,-0.00315361397543197,-0.0325616516416635,-0.0287934390245638,-0.0547936710084923
P1,S36,2,600,4,0,-0.0372034556233778,-0.0458958136817101,-0.102807062380774,-0.00693613393040113,-0.0463674807789264
P1,S37,2,700,4,0,-0.0445749015309059,-0.0290317691473898,-0.0159745331278665,-0.0205947140601463,-0.0818084785274045
P1,S38,2,800,4,0,-0.024881762285152,-0.0301085537287815,-0.0390437701171796,-0.0362777879174793,-0.018339594181073
P1,S39,2,900,4,0,-0.0373401677294342,-0.0319591529435644,-0.033429828118724,-0.0130989248385406,-0.0619198165606989
P1,S40,2,1000,4,0,0.0212732051702701,0.0251764616097272,0.0298270506947235,-0.0186627516752843,0.028815805969445
P1,S41,2,100,5,0,-0.0740616367056969,-0.0567847888283161,0.00107137906774052,-0.0599961720171423,-0.0311100015283368
P1,S42,2,200,5,0,0.0119055981550697,0.0638861849278727,0.0303171702895623,0.0344624895315692,0.0608420127528795
P1,S43,2,300,5,0,-0.0857981751411878,-0.0869453939285041,0.0910556409947624,-0.0964629270529848,-0.0999860196115778
P1,S44,2,400,5,0,-0.0380948729793787,-0.0709022929449406,-0.0603002421131947,-0.0455492457269191,-0.0333471880397558
P1,S45,2,500,5,0,-0.0163406439660035,-0.0369661489277867,-0.0136904128529737,-0.0404160797664997,-0.040440797860804
P1,S46,2,600,5,0,-0.0364487650485026,-0.054616019047366,-0.0725077046078954,-0.00614837986957462,-0.0975755110464073
P1,S47,2,700,5,0,-0.0433415875763115,-0.0636931100924635,-0.116948873958479,-0.011385169877701,-0.00646460197371705
P1,S48,2,800,5,0,-0.0464682683054417,-0.0222632261747196,-0.00882069059376202,-0.0324532906256647,-0.0900279722670056
P1,S49,2,900,5,0,-0.0337409801805642,-0.0324122704645147,-0.0474821089170545,-0.0130940978299532,-0.0169002890580465
P1,S50,2,1000,5,0,0.0205811725120719,0.0280645403409712,0.0368722701436352,-0.00480538941168019,0.0310985854106559
P1,S51,2,100,6,0,0.209328377525761,0.149483039935237,0.265235305836957,0.321509916608178,0.05427563262372
P1,S52,2,200,6,0,-0.0275881825366823,-0.0648911860239407,-0.0148512662296228,-0.0504133783328237,-0.062058373950227
P1,S53,2,300,6,0,-0.0122719182073147,-0.101108233159935,-0.0801531349781128,-0.0690085070009237,0.0350496701383817
P1,S54,2,400,6,0,-0.0110349789088538,-0.0799875454536801,-0.0514096693650219,-0.00544552431186675,0.00187015469813158
P1,S55,2,500,6,0,-0.0217156051441602,-0.0298039902554187,0.043756136074959,-0.0259433911225093,0.0485370097599276
P1,S56,2,600,6,0,-0.0435952988727619,-0.0583103908710702,-0.0764591711645262,-0.0325964993467229,-0.0867404586725449
P1,S57,2,700,6,0,-0.0744071583810359,-0.114013607326722,-0.143884301088163,-0.115175846289112,-0.0574038048895801
P1,S58,2,800,6,0,0.00274640085306985,-0.0102674501004405,-0.0329639173219301,-0.00466803210201697,0.021541857914451
P1,S59,2,900,6,0,0.0175925809874366,0.0423889484032588,0.0924559559084878,-0.0139157519426324,-0.0191228830765071
P1,S60,2,1000,6,0,0.0264598697061591,-0.00343439817089652,-0.0161889961915731,-0.0112248232006754,0.0286788159144585
P1,S61,2,100,7,0,-0.0579249286978648,-0.0895729629530343,-0.290593989689459,0.0167751306406942,-0.341244667349003
P1,S62,2,200,7,0,-0.0315424375726018,-0.0408090393567425,-0.0990316288057045,0.0223391037967215,0.0889299037315743
P1,S63,2,300,7,0,0.0489052750414059,0.0387582689650797,-0.0695775105372885,0.00826161798715531,0.0557138783238982
P1,S64,2,400,7,0,-0.0400765063706342,-0.119272385675272,-0.136854693983581,-0.0688366653017668,0.0174193463739501
P1,S65,2,500,7,0,-0.0153874891560903,0.00504653168925734,-0.0333589387205197,-0.0660675645671408,0.0792040448298585
P1,S66,2,600,7,0,0.0137260807813675,0.00660894347452882,-0.0390994616673343,-0.00477026358500084,0.023353744912606
P1,S67,2,700,7,0,-0.0205007035477999,-0.0197433469752206,0.0349331800022177,0.020197524628954,0.0314923483662158
P1,S68,2,800,7,0,-0.0222750789840483,-0.0304139184360019,-0.0660682841246452,-0.038952905327046,-0.0510464191718198
P1,S69,2,900,7,0,-0.0230721734119304,0.0184330733488479,0.0701185095724754,-0.00907658704628343,0.0274779626886395
P1,S70,2,1000,7,0,0.0665642622135532,0.0816880823477465,0.076602623376629,0.0454207832117306,0.0175979865072772
P1,S71,2,100,8,0,-0.0597797533691744,-0.0877238754119423,0.0919708789035334,-0.14485926692278,NA
P1,S72,2,200,8,0,-0.155322279100098,-0.108760531062615,-0.0589609193766569,-0.112736365404819,NA
P1,S73,2,300,8,0,-0.106919163886982,-0.0661196422620119,-0.0673478225639599,-0.0843338294290982,-0.0272251075135291
P1,S74,2,400,8,0,-0.0228410238325866,-0.00451193811396177,0.0136349585597477,-0.103064275012344,0.195518242653249
P1,S75,2,500,8,0,0.0587577590283184,-0.0273202700891317,0.0740971924709167,0.0259755209966248,0.0996799424934614
P1,S76,2,600,8,0,-0.035870429075203,0.00286550006166628,-0.015207617216181,-0.00593013003611281,-0.0623378889210992
P1,S77,2,700,8,0,0.0675178820895017,0.0131379626606099,0.0711733486072098,0.0485629673284079,0.0914331751665001
P1,S78,2,800,8,0,0.037522236350767,0.0250784746993475,-0.0267620355154514,0.0514138357623313,0.136568354976111
P1,S79,2,900,8,0,0.0274662577436182,0.0236947281334666,0.0250062210697855,0.0453962923014593,0.0441688979808272
P1,S80,2,1000,8,0,-0.0152494385961555,0.0105240256361016,-0.021615081515016,-0.0527598629057323,-0.0122820277328532
P2,S1,2,100,1,0.0796604046242782,0.120641319863961,0.151792250404338,0.375681690399297,0.100345529063201,0.117959085714351
P2,S2,2,200,1,0.0796604046242782,-0.0304896576377775,-0.0321034516641717,-0.0349308478370237,-0.0305232632583754,-0.0459539662844815
P2,S3,2,300,1,0.0796604046242782,0.108664830836568,0.111863159090381,0.00856561150948088,0.10720375549542,0.129061422913203
P2,S4,2,400,1,0.0796604046242782,0.146091998238223,0.143154952476125,0.0693792322292533,0.147432761851906,0.157525884254421
P2,S5,2,500,1,0.0796604046242782,0.105021978946507,0.121100149492212,0.0211492494727928,0.0983507702877998,0.111920908685373
P2,S6,2,600,1,0.0796604046242782,0.121732012797233,0.118395680944258,0.167849880522076,0.127235711196571,0.126740308985819
P2,S7,2,700,1,0.0796604046242782,0.121435473519629,0.123973622588771,0.121774685080898,0.117051084821787,0.120951002689721
P2,S8,2,800,1,0.0796604046242782,0.0548021323427239,0.0560724890827361,0.0247351966897949,0.0509797082727968,0.0527615984032656
P2,S9,2,900,1,0.0796604046242782,0.141206934208034,0.138529761954706,0.11442387636198,0.140598915111907,0.133261411126545
