Pop_Condition,Sample_Condition,NFac,SampleSize,NMissing,Pop12,Full12,SFA12,SFB12,SFC12,MI12
P1,S1,2,100,1,0,0.273127103031844,0.310085576240442,0.225738671491211,0.278438341989886,0.259244917136788
P1,S2,2,200,1,0,-0.0842745778725049,-0.0567007636138155,-0.00405846264051134,-0.0928841404243652,-0.0846013837175529
P1,S3,2,300,1,0,0.167595000906523,0.186837216469456,0.166872178978377,0.166625661024882,0.142677121631943
P1,S4,2,400,1,0,-0.0254115988490655,-0.029686542754076,-0.111264836597468,-0.0332620820504992,-0.00281925421037674
P1,S5,2,500,1,0,-0.00883247373840819,-0.0104904295379554,0.0589965320227007,-0.00553590336230545,-0.0269734023952285
P1,S6,2,600,1,0,0.00010237296968071,-0.0048162675600711,-0.00256085057442101,-0.00392998096079395,-0.00592033218849201
P1,S7,2,700,1,0,0.0147083908425904,0.0163544942810235,0.0294422954323717,0.0187532268593239,0.00817853009273214
P1,S8,2,800,1,0,-0.0376584996939462,-0.0367241074274699,-0.0977191949084102,-0.0334836072835854,-0.040575289257252
P1,S9,2,900,1,0,0.0403585087639519,0.0358071076217314,0.0476127697685016,0.0421671228622643,0.0435818220440819
P1,S10,2,1000,1,0,-0.0150824859059927,-0.0265257392753836,-0.00354269489147158,-0.0121636443587758,-0.0102599001591043
P1,S11,2,100,2,0,0.0573598591651296,0.0383095227599036,-0.0975736912413604,0.0804552654049875,0.0260939647944484
P1,S12,2,200,2,0,0.00592801307146904,0.0202829554803396,0.0555579026740379,-0.00598860090973364,-0.00990444369493737
P1,S13,2,300,2,0,-0.0926139730344456,-0.0980737541777806,-0.10648565512028,-0.0999743903979872,-0.0878490964014152
P1,S14,2,400,2,0,0.0256969150350336,0.00215349394197076,0.0498091283179201,0.0500840131480017,0.0445391470343715
P1,S15,2,500,2,0,0.0143861760288074,0.0183219390004298,-0.00162092756251229,0.0165375973180252,-0.00697798216722586
P1,S16,2,600,2,0,0.0453592152419422,0.0616852603997493,0.0168324866112742,0.0621250975775631,0.0526036896317545
P1,S17,2,700,2,0,0.0415807637390583,0.0476874829006479,0.0220834830208254,0.0501081269533273,0.0463746195846273
P1,S18,2,800,2,0,0.00901139827648777,0.0416724804136698,0.0116738171013401,0.00760347280622259,0.00625647461393344
P1,S19,2,900,2,0,-0.0138516512006359,-0.0218259848241614,-0.0288716305620111,-0.0165300143035162,-0.0221385287340249
P1,S20,2,1000,2,0,-0.0653578860753162,-0.0649578095318152,-0.0314520702548208,-0.0462408828198235,-0.0699524326004172
P1,S21,2,100,3,0,0.0754139313723214,0.110466695124418,0.0875380976446691,0.0701514116414761,0.108361164168102
P1,S22,2,200,3,0,0.0363929008309245,0.0496882196250306,0.036102036919804,0.0955875694863753,0.00954404759417574
P1,S23,2,300,3,0,-0.0275310514784637,-0.0595877622584795,-0.0511799711265977,-0.0396797323046005,-0.0195559679044252
