pop_condition,sample_condition,no_factors,sample_size,no_missing,cor_pop,iteration_no,cor_pooled,fmi,coverage,RB,PB,ac,psrf
P6,S15,2,500,2,0.3983020231213886,3,0.380105192353348,0.12458305504760621,TRUE,-0.018196830768040628,4.568601139767464,0.08252282648162254,1.036272576589838
P6,S15,2,500,2,0.3983020231213886,4,0.3762534746064898,0.13060527784396359,TRUE,-0.022048548514898847,5.535635581790458,0.053974096513379255,1.0487068094430214
P6,S15,2,500,2,0.3983020231213886,5,0.38165041629747937,0.14288997046179464,TRUE,-0.01665160682390926,4.180648316424551,0.03656822006266988,1.0742158390527552
P6,S15,2,500,2,0.3983020231213886,6,0.3697082431241462,0.1453341702803726,TRUE,-0.02859377999724244,7.178919095906286,0.03094805168915748,1.034260097005741
P6,S15,2,500,2,0.3983020231213886,7,0.3778130599907326,0.1266698068754296,TRUE,-0.020488963130656013,5.144077092576476,0.031471389511345225,1.0345749742565928
P6,S15,2,500,2,0.3983020231213886,8,0.37883830677837727,0.1000332782084562,TRUE,-0.01946371634301136,4.886672729020885,0.045567975195378474,1.0190423282639622
P6,S15,2,500,2,0.3983020231213886,9,0.3807574152372982,0.07957101766594221,TRUE,-0.017544607884090402,4.404850305955743,0.05608891531026296,1.0239736517690239
P6,S15,2,500,2,0.3983020231213886,10,0.37667747706596133,0.08484358921584485,TRUE,-0.021624546055427296,5.429183082215197,0.056022610608103436,1.0121233003285437
P6,S15,2,500,2,0.3983020231213886,11,0.3762014017833666,0.0661588302796551,TRUE,-0.022100621338022042,5.548709284684336,0.04975617751024183,1.0142061656795216
P6,S15,2,500,2,0.3983020231213886,12,0.38655628353400134,0.10814478462787826,TRUE,-0.011745739587387283,2.9489530320079718,0.04994049595236924,1.0146980549965046
P6,S15,2,500,2,0.3983020231213886,13,0.3700968471188931,0.150923237637021,TRUE,-0.028205176002495502,7.081353938767101,0.042853825688887,1.01013331729215
P6,S15,2,500,2,0.3983020231213886,14,0.3732387989836616,0.13319139294242083,TRUE,-0.025063224137727047,6.292517407095531,0.039149494357538533,1.009853724217854
