pop_condition,sample_condition,no_factors,sample_size,no_missing,cor_pop,iteration_no,cor_pooled,fmi,coverage,RB,PB,ac,psrf
P6,S15,2,500,2,0.3983020231213886,3,0.37251234457345017,0.10824342711693007,TRUE,-0.025789678547938455,6.474905235437044,0.036198325552956205,1.0154556382395732
P6,S15,2,500,2,0.3983020231213886,4,0.3708759908408418,0.08336796730650953,TRUE,-0.027426032280546853,6.885737628349517,0.03846805058966915,1.0851850540571875
P6,S15,2,500,2,0.3983020231213886,5,0.36589549101086294,0.1236851604515326,TRUE,-0.03240653211052569,8.136170601536035,0.02299790421966494,1.0886600980331143
P6,S15,2,500,2,0.3983020231213886,6,0.3697267067756172,0.10900325078618348,TRUE,-0.02857531634577143,7.174283505224041,0.02060553053564367,1.0539508027980986
P6,S15,2,500,2,0.3983020231213886,7,0.36809619558571627,0.14708375568813123,TRUE,-0.030205827535672358,7.583649035713452,0.03675679024200029,1.042186017519361
P6,S15,2,500,2,0.3983020231213886,8,0.37099939502780477,0.11761623517516626,TRUE,-0.02730262809358386,6.854755062407245,0.024079454187645063,1.0357815704554738
P6,S15,2,500,2,0.3983020231213886,9,0.3768016302388922,0.1475041657656149,TRUE,-0.021500392882496444,5.398012471541946,0.03460203323736793,1.0350869678463641
P6,S15,2,500,2,0.3983020231213886,10,0.3721940702022384,0.13316129390601827,TRUE,-0.026107952919150246,6.55481303221838,0.03004656783181027,1.0242313879030154
P6,S15,2,500,2,0.3983020231213886,11,0.3715504077587273,0.12399100947259298,TRUE,-0.026751615362661352,6.716414632548423,0.03128866672050083,1.0229780155118369
P6,S15,2,500,2,0.3983020231213886,12,0.3708331081977275,0.11271108176041432,TRUE,-0.027468914923661103,6.896503991718247,0.02635145820665308,1.0188999781563306
P6,S15,2,500,2,0.3983020231213886,13,0.3737071548147045,0.11440117038986423,TRUE,-0.024594868306684115,6.174929294594231,0.024325556211902025,1.0161555098795303
P6,S15,2,500,2,0.3983020231213886,14,0.374244824658865,0.10501796993958958,TRUE,-0.024057198462523632,6.039938806736072,0.02697210600790838,1.0180875456305833
