pop_condition,sample_condition,no_factors,sample_size,no_missing,cor_pop,iteration_no,cor_pooled,fmi,coverage,RB,PB,ac,psrf
P6,S15,2,500,2,0.3983020231213886,3,0.36797499456369676,0.12548257574762495,TRUE,-0.03032702855769187,7.614078462375584,0.04897136788501344,1.0230859954850198
P6,S15,2,500,2,0.3983020231213886,4,0.3733975439274855,0.1098842078725489,TRUE,-0.02490447919390315,6.252661987185822,0.051515780487375415,1.0542971902411111
P6,S15,2,500,2,0.3983020231213886,5,0.37527603060700787,0.13601905157321068,TRUE,-0.023025992514380755,5.781038302023194,0.0397623060109943,1.0462564720298837
P6,S15,2,500,2,0.3983020231213886,6,0.369501926619926,0.17405704672678265,TRUE,-0.028800096501462646,7.230718105764021,0.04086797226990236,1.0404761703626915
P6,S15,2,500,2,0.3983020231213886,7,0.3705949686909871,0.07822703883310884,TRUE,-0.0277070544304015,6.95629266787765,0.04715828075276341,1.0428684698123056
P6,S15,2,500,2,0.3983020231213886,8,0.36868933463467446,0.10758880604343735,TRUE,-0.029612688486714167,7.434732129816285,0.040892552763158806,1.0222384624110632
P6,S15,2,500,2,0.3983020231213886,9,0.3709046417347446,0.11341874557651146,TRUE,-0.02739738138664405,6.878544369907526,0.034209592097401396,1.0121306267412147
P6,S15,2,500,2,0.3983020231213886,10,0.3673134994363102,0.12440391605895625,TRUE,-0.03098852368507843,7.780157239029188,0.033868536237842056,1.0141529938210867
P6,S15,2,500,2,0.3983020231213886,11,0.3722470820583449,0.14079901910523454,TRUE,-0.026054941063043735,6.5415035702952204,0.03481971285861235,1.0208146974578605
P6,S15,2,500,2,0.3983020231213886,12,0.36923362489712086,0.15945628576562532,TRUE,-0.029068398224267766,7.298079481612055,0.034949278001910215,1.019707130578059
P6,S15,2,500,2,0.3983020231213886,13,0.3697426498133646,0.09954905208291788,TRUE,-0.02855937330802405,7.170280754341071,0.035161817760959925,1.0205165258343558
P6,S15,2,500,2,0.3983020231213886,14,0.37260207666086476,0.092240169372195,TRUE,-0.02569994646052387,6.452376580746471,0.031842268436658154,1.015242693778061
P6,S15,2,500,2,0.3983020231213886,15,0.3664595929887147,0.14727288523800186,TRUE,-0.031842430132673905,7.994543909953839,0.02332137086563504,1.012082643523573
P6,S15,2,500,2,0.3983020231213886,16,0.3755335408199762,0.12540395458131295,TRUE,-0.02276848230141243,5.7163863047899675,0.02723441974574379,1.0123691646095054
P6,S15,2,500,2,0.3983020231213886,17,0.3712503722470937,0.16448538237428448,TRUE,-0.027051650874294952,6.791743276194846,0.025291749705610836,1.0115691931719302
P6,S15,2,500,2,0.3983020231213886,18,0.37112532498331874,0.07331129901379642,TRUE,-0.027176698138069888,6.823138362465052,0.028340663569224073,1.010860093806364
P6,S15,2,500,2,0.3983020231213886,19,0.37221379612621763,0.07732615537808232,TRUE,-0.026088226995170993,6.549860528129983,0.03185243926842528,1.0108631241062125
P6,S15,2,500,2,0.3983020231213886,20,0.3781247539490342,0.07911407162063314,TRUE,-0.020177269172354406,5.065821412161162,0.03244016894819746,1.01076901909785
P6,S15,2,500,2,0.3983020231213886,21,0.3737841994829869,0.09762531307766877,TRUE,-0.024517823638401715,6.155586016425915,0.03339218449661694,1.010869066958369
P6,S15,2,500,2,0.3983020231213886,22,0.36944138688748296,0.11200157924902351,TRUE,-0.028860636233905668,7.245917559678061,0.036613721210072496,1.0111380020607013
P6,S15,2,500,2,0.3983020231213886,23,0.3601934055768521,0.15596434373652535,TRUE,-0.03810861754453654,9.567769012542112,0.03808097315036376,1.0107385638390107
P6,S15,2,500,2,0.3983020231213886,24,0.372178834468264,0.12904336862364083,TRUE,-0.02612318865312463,6.558638203342289,0.03675877465465043,1.0091047921756138
P6,S15,2,500,2,0.3983020231213886,25,0.36674377205289005,0.20109729073782912,TRUE,-0.03155825106849858,7.923196277333674,0.03459966326027483,1.0075943406954244
P6,S15,2,500,2,0.3983020231213886,26,0.37124695762994914,0.07397581901902264,TRUE,-0.02705506549143949,6.79260056964211,0.03551152726462636,1.007693217028687
P6,S15,2,500,2,0.3983020231213886,27,0.36653707217370085,0.1303676635594337,TRUE,-0.031764950947687776,7.975091539519226,0.03595333351095555,1.0079985791722024
P6,S15,2,500,2,0.3983020231213886,28,0.37134943722172564,0.09882038510175606,TRUE,-0.026952585899662984,6.766871453085432,0.03837396956596653,1.0064808800999794
P6,S15,2,500,2,0.3983020231213886,29,0.3729148442039817,0.14821381985636548,TRUE,-0.02538717891740694,6.373851359943961,0.03896990663765276,1.0076351076073131
